Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Manjeet Chhillar,121,54,45%
Amit Hooda,84,46,55%
Ponparthiban Subramani..,50,16,32%
Darshan J.,34,6,18%
C. Arun,30,8,27%
Sunil,29,13,45%
D. Pradap,29,12,41%
Anil Kumar,18,8,44%
Jasvir Singh,16,5,31%
D. Gopu,13,5,38%
Sukesh Hegde,10,2,20%
Athul MS,10,1,10%
Ajay Thakur,9,1,11%
Vimal Raj V,3,0,0%
Surjeet Singh,3,0,0%
Narender,1,1,100%
