Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Fazel Atrachali,133,80,60%
Surender Singh,116,61,53%
Rohit Rana,77,37,48%
Dharmaraj Cheralathan,66,39,59%
Vinod Kumar,40,25,63%
Rohit Baliyan,33,14,42%
Rajaguru Subramanian,20,10,50%
Abhishek Singh,18,6,33%
Siddharth Sirish Desai,10,3,30%
Abolfazl Maghsodloumah..,7,2,29%
Hadi Tajik,4,0,0%
Darshan Kadian,2,1,50%
E Subash,1,1,100%
