Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Mahender Singh,118,63,53%
Ashish Kumar,82,37,45%
Amit Sheoran,69,36,52%
Raju Lal Choudhary,49,19,39%
Kashiling Adake,45,15,33%
Pawan Sehrawat,35,11,31%
Sandeep,34,13,38%
Rohit Kumar,27,9,33%
Jasmer Singh Gulia,21,4,19%
Ankit,12,3,25%
Ajay,11,4,36%
Sumit Singh,10,4,40%
Nithesh B R,3,1,33%
Jawahar Vivek,3,0,0%
Anand V,1,0,0%
