Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Abozar Mighani,95,47,49%
Vishal Bhardwaj,92,53,58%
Farhad Milaghardan,67,21,31%
Anil Kumar,52,24,46%
Mohsen Maghsoudlou,51,25,49%
Krushna Madane,20,11,55%
Rahul Chaudhari,18,6,33%
Nilesh Salunke,14,4,29%
C Manoj Kumar,11,4,36%
Anuj Kumar,10,4,40%
Sombir,8,1,13%
Kamal Singh,5,1,20%
Rakshith,3,0,0%
Deepak,1,0,0%
Armaan,1,1,100%
