Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abhishek Singh,1,4,1%,,100.00%,
,2,20,6%,10.00%,55.00%,35.00%
,3,25,7%,28.00%,56.00%,16.00%
,4,54,15%,37.00%,37.00%,25.90%
,5,74,20%,40.50%,28.40%,31.10%
,6,70,19%,30.00%,40.00%,30.00%
,7,116,32%,36.20%,44.00%,19.80%
Ajeet,6,1,100%,100.00%,,
Ajinkya Kapre,4,1,2%,,100.00%,
,5,7,15%,57.10%,14.30%,28.60%
,6,19,41%,52.60%,31.60%,15.80%
,7,19,41%,42.10%,21.10%,36.80%
Ashish Kumar,5,1,9%,100.00%,,
,7,10,91%,70.00%,20.00%,10.00%
Fazel Atrachali,5,4,33%,100.00%,,
,6,2,17%,100.00%,,
,7,6,50%,100.00%,,
Harendra Kumar,7,1,100%,,,100.00%
Jashandeep Singh,5,1,8%,100.00%,,
,6,5,42%,20.00%,20.00%,60.00%
,7,6,50%,33.30%,16.70%,50.00%
Kamlesh,3,1,14%,100.00%,,
,4,2,29%,50.00%,,50.00%
,7,4,57%,,25.00%,75.00%
Mohsen Maghsoudlou,2,1,2%,,,100.00%
,3,2,5%,50.00%,50.00%,
,4,4,9%,75.00%,,25.00%
,5,6,14%,66.70%,,33.30%
,6,8,18%,25.00%,37.50%,37.50%
,7,23,52%,47.80%,26.10%,26.10%
Prathap S,4,1,13%,,,100.00%
,5,1,13%,,,100.00%
,6,2,25%,,,100.00%
,7,4,50%,25.00%,50.00%,25.00%
Rahul Rana,5,2,10%,100.00%,,
,6,3,15%,66.70%,33.30%,
,7,15,75%,46.70%,26.70%,26.70%
Rinku Hc,5,1,50%,100.00%,,
,7,1,50%,100.00%,,
Shivam,3,2,4%,50.00%,50.00%,
,4,5,9%,40.00%,60.00%,
,5,11,19%,36.40%,18.20%,45.50%
,6,14,25%,21.40%,50.00%,28.60%
,7,25,44%,16.00%,52.00%,32.00%
Sunil Siddhgavali,6,1,100%,100.00%,,
V. Ajith Kumar,1,1,0%,,83.30%,16.70%
,2,12,4%,33.30%,46.70%,20.00%
,3,15,5%,39.30%,28.60%,32.10%
,4,28,10%,50.00%,22.10%,27.90%
,5,68,23%,23.10%,52.30%,24.60%
,6,65,22%,27.50%,53.90%,18.60%
,7,102,35%,,,
