Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Amin Nosrati,5,3,60%,66.70%,,33.30%
,6,1,20%,,,100.00%
,7,1,20%,,,100.00%
Amirhossein Maleki,6,2,40%,,50.00%,50.00%
,7,3,60%,,100.00%,
Amit Nagar,4,3,17%,100.00%,,
,5,6,33%,66.70%,,33.30%
,6,2,11%,,50.00%,50.00%
,7,7,39%,28.60%,57.10%,14.30%
Arjun Deshwal,1,5,1%,,100.00%,
,2,26,6%,11.50%,61.50%,26.90%
,3,29,7%,37.90%,37.90%,24.10%
,4,58,14%,27.60%,43.10%,29.30%
,5,57,14%,47.40%,38.60%,14.00%
,6,104,25%,26.90%,59.60%,13.50%
,7,142,34%,25.40%,59.90%,14.80%
Ashok,6,4,67%,25.00%,25.00%,50.00%
,7,2,33%,,50.00%,50.00%
Brijendra Singh Chaudhary,0,1,3%,,,100.00%
,4,2,7%,50.00%,50.00%,
,5,3,10%,66.70%,33.30%,
,6,5,17%,,60.00%,40.00%
,7,18,62%,27.80%,44.40%,27.80%
Deepak Hooda,1,1,0%,,100.00%,
,2,14,5%,28.60%,50.00%,21.40%
,3,28,10%,50.00%,39.30%,10.70%
,4,46,16%,45.70%,26.10%,28.30%
,5,56,20%,58.90%,19.60%,21.40%
,6,58,21%,41.40%,44.80%,13.80%
,7,78,28%,33.30%,47.40%,19.20%
Deepak Rajendar ..,3,1,100%,100.00%,,
Naveen,4,7,16%,14.30%,57.10%,28.60%
,5,13,29%,53.80%,23.10%,23.10%
,6,10,22%,80.00%,10.00%,10.00%
,7,15,33%,60.00%,6.70%,33.30%
Nitin Rawal,3,3,6%,100.00%,,
,4,8,17%,87.50%,,12.50%
,5,6,13%,100.00%,,
,6,7,15%,42.90%,28.60%,28.60%
,7,23,49%,56.50%,8.70%,34.80%
Sachin Narwal,2,1,3%,,100.00%,
,3,1,3%,100.00%,,
,4,6,20%,16.70%,50.00%,33.30%
,5,6,20%,50.00%,33.30%,16.70%
,6,4,13%,50.00%,50.00%,
,7,12,40%,33.30%,41.70%,25.00%
Shaul Kumar,4,1,50%,100.00%,,
,7,1,50%,100.00%,,
Sushil Gulia,5,2,100%,,,100.00%
Vishal Lather,5,1,50%,100.00%,,
,7,1,50%,100.00%,,
