player-super-raids_player_name,player-dod-raid-points_player_name,player-tackle-points_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-super-raids_match_played,player-dod-raid-points_match_played,player-tackle-points_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-super-raids_position_name,player-dod-raid-points_position_name,player-tackle-points_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-super-raids_team,player-dod-raid-points_team,player-tackle-points_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-total-points_team,super-10s_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-super-raids_team_name,player-dod-raid-points_team_name,player-tackle-points_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-super-raids_team_full_name,player-dod-raid-points_team_full_name,player-tackle-points_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-super-raids_rank,player-dod-raid-points_rank,player-tackle-points_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-total-points_rank,super-10s_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-super-raids_value,player-dod-raid-points_value,player-tackle-points_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-total-points_value,super-10s_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-super-raids_points_per_match,player-dod-raid-points_points_per_match,player-tackle-points_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-super-raids_team_id,player-dod-raid-points_team_id,player-tackle-points_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-super-raids_position_id,player-dod-raid-points_position_id,player-tackle-points_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-total-points_position_id,super-10s_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id
,,Ravi Kumar,,,Ravi Kumar,Ravi Kumar,,,Ravi Kumar,,,,4,,,4,4,,,4,,,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,,,,,,,,,,,,,,,GUJ,,,GUJ,GUJ,,,GUJ,,,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,,Gujarat Giants,,,,119,,,81,177,,,117,,,,4,,,1,4,,,4,,,,1,,,0.25,1,,,1,,,,31,,,31,31,,,31,,,,0,,,0,0,,,0,
,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,,23,23,23,23,23,23,,23,23,23,,Defender,Defender,Defender,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,,GUJ,GUJ,GUJ,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,,87,13,96,26,22,43,,97,12,22,,1,62,2,4,2.7,66,,4,58,3,,0.043478261,2.6956521739130435,0.086956522,0.1739130434782608,0.117391304,2.869565217391304,,0.1739130434782608,2.5217391304347827,0.1304347826086956,,31,31,31,31,31,31,,31,31,31,,9,9,9,9,9,9,,9,9,9
,,Selvamani K ,Selvamani K ,,Selvamani K ,Selvamani K ,,Selvamani K ,Selvamani K ,,,,1,1,,1,1,,1,1,,,,Raider,Raider,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,CHE,CHE,,CHE,CHE,,CHE,CHE,,,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,,,169,116,,83,194,,142,155,,,,1,1,,1,2,,1,1,,,,1,1,,1,2,,1,1,,,,29,29,,29,29,,29,29,,,,8,8,,8,8,,8,8,
,,Sandeep Dhull,,Sandeep Dhull,Sandeep Dhull,Sandeep Dhull,,,Sandeep Dhull,Sandeep Dhull,,,16,,16,16,16,,,16,16,,,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,,,HYD,HYD,,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,,Telugu Titans,Telugu Titans,,,28,,73,34,77,,,27,23,,,37,,1,2.31,37,,,36,3,,,2.3125,,0.0625,0.144375,2.3125,,,2.25,0.1875,,,8,,8,8,8,,,8,8,,,0,,0,0,0,,,0,0
Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,Pawan Sehrawat,21,21,21,21,21,21,21,21,21,21,21,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,8,12,64,3,74,104,3,3,3,63,57,5,21,15,156,1,0.71,217,13,202,14,1,0.238095238,1,0.7142857142857143,7.428571428571429,0.047619048,0.033809524,10.333333333333334,0.6190476190476191,9.619047619,0.6666666666666666,0.047619048,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,,Surjeet Singh,Surjeet Singh,Surjeet Singh,21,21,21,21,21,21,21,,21,21,21,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,55,88,17,95,75,23,51,,96,15,12,1,1,56,2,1,2.67,60,,4,55,5,0.047619048,0.047619048,2.6666666666666665,0.095238095,0.047619048,0.1271428571428571,2.857142857142857,,0.1904761904761904,2.619047619047619,0.238095238,1,1,1,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,,0,0,0
,,Parvesh Bhainswal,,,Parvesh Bhainswal,Parvesh Bhainswal,,,Parvesh Bhainswal,,,,15,,,15,15,,,15,,,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,,Defender - Left Cover,,,,,,,,,,,,,,,HYD,,,HYD,HYD,,,HYD,,,,Telugu Titans,,,Telugu Titans,Telugu Titans,,,Telugu Titans,,,,89,,,114,150,,,86,,,,8,,,0.53,8,,,8,,,,0.5333333333333333,,,0.035333333,0.5333333333333333,,,0.5333333333333333,,,,8,,,8,8,,,8,,,,0,,,0,0,,,0,
Vikash Kandola,Vikash Kandola,Vikash Kandola,Vikash Kandola,,Vikash Kandola,Vikash Kandola,Vikash Kandola,Vikash Kandola,Vikash Kandola,,19,19,19,19,,19,19,19,19,19,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,23,18,140,31,,165,37,34,31,141,,2,16,2,55,,0.11,70,1,68,2,,0.1052631578947368,0.8421052631578947,0.1052631578947368,2.8947368421052633,,0.005789474,3.6842105263157894,0.052631579,3.5789473684210527,0.1052631578947368,,1,1,1,1,,1,1,1,1,1,,8,8,8,8,,8,8,8,8,8,
Sunil Kumar,,Sunil Kumar,Sunil Kumar,Sunil Kumar,Sunil Kumar,Sunil Kumar,,Sunil Kumar,Sunil Kumar,Sunil Kumar,23,,23,23,23,23,23,,23,23,23,Defender,,Defender,Defender,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,53,,18,118,14,28,52,,95,18,13,1,,55,1,5,2.39,59,,4,50,4,0.043478261,,2.391304347826087,0.043478261,0.217391304,0.1039130434782608,2.5652173913043477,,0.1739130434782608,2.1739130434782608,0.1739130434782608,3,,3,3,3,3,3,,3,3,3,9,,9,9,9,9,9,,9,9,9
,,Narender Hooda,,,Narender Hooda,Narender Hooda,,,Narender Hooda,,,,8,,,8,8,,,8,,,,All Rounder,,,All Rounder,All Rounder,,,All Rounder,,,,,,,,,,,,,,,GUJ,,,GUJ,GUJ,,,GUJ,,,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,,Gujarat Giants,,,,164,,,164,215,,,153,,,,1,,,0.13,1,,,1,,,,0.125,,,0.01625,0.125,,,0.125,,,,31,,,31,31,,,31,,,,0,,,0,0,,,0,
,,Gulveer Singh,Gulveer Singh,,Gulveer Singh,Gulveer Singh,,Gulveer Singh,Gulveer Singh,,,,3,3,,3,3,,3,3,,,,Raider,Raider,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,U.P.,U.P.,,U.P.,U.P.,,U.P.,U.P.,,,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,,,,131,83,,84,142,,79,120,,,,3,5,,1,11,,8,3,,,,1,1.6666666666666667,,0.3333333333333333,3.6666666666666665,,2.6666666666666665,1,,,,30,30,,30,30,,30,30,,,,8,8,,8,8,,8,8,
Bhavani Rajput,Bhavani Rajput,Bhavani Rajput,Bhavani Rajput,,Bhavani Rajput,Bhavani Rajput,Bhavani Rajput,Bhavani Rajput,Bhavani Rajput,,20,20,20,20,,20,20,20,20,20,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,54,9,132,32,,159,46,35,32,121,,1,26,3,49,,0.15,65,1,62,3,,0.05,1.3,0.15,2.45,,0.0075,3.25,0.05,3.1,0.15,,3,3,3,3,,3,3,3,3,3,,8,8,8,8,,8,8,8,8,8,
,,M BABU,,,M BABU,M BABU,,,M BABU,,,,9,,,9,9,,,9,,,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,,Defender - Left Cover,,,,,,,,,,,,,,,PAT,,,PAT,PAT,,,PAT,,,,Patna Pirates,,,Patna Pirates,Patna Pirates,,,Patna Pirates,,,,78,,,72,143,,,75,,,,11,,,1.22,11,,,11,,,,1.2222222222222223,,,0.1355555555555555,1.2222222222222223,,,1.2222222222222223,,,,6,,,6,6,,,6,,,,0,,,0,0,,,0,
Sachin,Sachin,Sachin,Sachin,Sachin,Sachin,Sachin,Sachin,Sachin,Sachin,,22,22,22,22,22,22,22,22,22,22,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,20,3,72,5,33,112,6,8,6,76,,3,38,13,142,3,0.59,184,7,171,10,,0.1363636363636363,1.7272727272727273,0.5909090909090909,6.454545454545454,0.1363636363636363,0.026818182,8.363636363636363,0.3181818181818182,7.772727272727272,0.4545454545454545,,6,6,6,6,6,6,6,6,6,6,,8,8,8,8,8,8,8,8,8,8,
Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,,22,22,22,22,22,22,22,22,22,22,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,21,11,112,18,56,148,17,27,17,119,,3,22,5,85,2,0.23,120,2,115,3,,0.1363636363636363,1,0.2272727272727272,3.863636363636364,0.090909091,0.010454545,5.454545454545454,0.090909091,5.2272727272727275,0.1363636363636363,,6,6,6,6,6,6,6,6,6,6,,8,8,8,8,8,8,8,8,8,8,
,,Mahender Singh,,Mahender Singh,Mahender Singh,Mahender Singh,,,Mahender Singh,Mahender Singh,,,16,,16,16,16,,,16,16,,,Defender - Left Cover,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,,,MUM,MUM,,,U Mumba,,U Mumba,U Mumba,U Mumba,,,U Mumba,U Mumba,,,35,,10,40,86,,,38,30,,,31,,6,1.94,31,,,25,2,,,1.9375,,0.375,0.12125,1.9375,,,1.5625,0.125,,,5,,5,5,5,,,5,5,,,0,,0,0,0,,,0,0
Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,,Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,,23,23,23,23,,23,23,23,23,23,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,3,4,141,2,,173,2,1,2,142,,7,36,2,212,,0.09,278,17,276,2,,0.3043478260869565,1.565217391304348,0.086956522,9.217391304347826,,0.003913043,12.08695652173913,0.7391304347826086,12,0.086956522,,3,3,3,3,,3,3,3,3,3,,8,8,8,8,,8,8,8,8,8,
Siddharth Desai,Siddharth Desai,,Siddharth Desai,,,Siddharth Desai,Siddharth Desai,Siddharth Desai,,,17,17,,17,,,17,17,17,,,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,,HAR,HAR,,HAR,,,HAR,HAR,HAR,,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,,19,60,,28,,,29,15,27,,,3,3,,59,,,82,4,82,,,0.1764705882352941,0.1764705882352941,,3.4705882352941178,,,4.823529411764706,0.2352941176470588,4.823529411764706,,,28,28,,28,,,28,28,28,,,8,8,,8,,,8,8,8,,
,Abhishek Singh,,Abhishek Singh,,,Abhishek Singh,,Abhishek Singh,,,,4,,4,,,4,,4,,,,Raider,,Raider,,,Raider,,Raider,,,,,,,,,,,,,,,BLR,,BLR,,,BLR,,BLR,,,,Bengaluru Bulls,,Bengaluru Bulls,,,Bengaluru Bulls,,Bengaluru Bulls,,,,85,,97,,,189,,107,,,,1,,2,,,3,,3,,,,0.25,,0.5,,,0.75,,0.75,,,,1,,1,,,1,,1,,,,8,,8,,,8,,8,,
,Gurdeep,Gurdeep,,Gurdeep,Gurdeep,Gurdeep,,Gurdeep,Gurdeep,Gurdeep,,16,16,,16,16,16,,16,16,16,,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,,,,,,,,,,,,,U.P.,U.P.,,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,86,38,,34,45,89,,141,34,55,,1,29,,3,1.81,30,,1,26,1,,0.0625,1.8125,,0.1875,0.113125,1.875,,0.0625,1.625,0.0625,,30,30,,30,30,30,,30,30,30,,0,0,,0,0,0,,0,0,0
