player-super-raids_player_name,player-dod-raid-points_player_name,player-tackle-points_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-super-raids_match_played,player-dod-raid-points_match_played,player-tackle-points_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-super-raids_position_name,player-dod-raid-points_position_name,player-tackle-points_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-super-raids_team,player-dod-raid-points_team,player-tackle-points_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-total-points_team,super-10s_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-super-raids_team_name,player-dod-raid-points_team_name,player-tackle-points_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-super-raids_team_full_name,player-dod-raid-points_team_full_name,player-tackle-points_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-super-raids_rank,player-dod-raid-points_rank,player-tackle-points_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-total-points_rank,super-10s_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-super-raids_value,player-dod-raid-points_value,player-tackle-points_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-total-points_value,super-10s_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-super-raids_points_per_match,player-dod-raid-points_points_per_match,player-tackle-points_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-super-raids_team_id,player-dod-raid-points_team_id,player-tackle-points_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-super-raids_position_id,player-dod-raid-points_position_id,player-tackle-points_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-total-points_position_id,super-10s_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id
Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,4,4,4,4,,4,4,4,4,4,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HAR,HAR,HAR,HAR,,HAR,HAR,HAR,HAR,HAR,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,52,90,166,47,,145,82,36,47,156,,1,1,1,24,,0.25,32,1,31,1,,0.25,0.25,0.25,6,,0.0625,8,0.25,7.75,0.25,,28,28,28,28,,28,28,28,28,28,,8,8,8,8,,8,8,8,8,8,
,Rahul Chaudhari,,Rahul Chaudhari,,,Rahul Chaudhari,,Rahul Chaudhari,,,,4,,4,,,4,,4,,,,Raider,,Raider,,,Raider,,Raider,,,,,,,,,,,,,,,JAI,,JAI,,,JAI,,JAI,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,91,,81,,,163,,86,,,,1,,5,,,6,,6,,,,0.25,,1.25,,,1.5,,1.5,,,,3,,3,,,3,,3,,,,8,,8,,,8,,8,,
Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,15,15,15,15,,15,15,15,15,15,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,25,38,167,30,,174,33,26,29,157,,2,9,1,55,,0.07,75,2,74,1,,0.1333333333333333,0.6,0.066666667,3.6666666666666665,,0.004666667,5,0.1333333333333333,4.933333333333334,0.066666667,,4,4,4,4,,4,4,4,4,4,,8,8,8,8,,8,8,8,8,8,
,,Vikash Jaglan,Vikash Jaglan,Vikash Jaglan,Vikash Jaglan,Vikash Jaglan,,Vikash Jaglan,Vikash Jaglan,,,,5,5,5,5,5,,5,5,,,,All- Rounder,All- Rounder,All- Rounder,All- Rounder,All- Rounder,,All- Rounder,All- Rounder,,,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,,GUJ,GUJ,,,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,,,,139,82,70,128,149,,83,158,,,,2,5,1,0.4,9,,7,1,,,,0.4,1,0.2,0.08,1.8,,1.4,0.2,,,,31,31,31,31,31,,31,31,,,,0,0,0,0,0,,0,0,
Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,,21,21,21,21,,21,21,21,21,21,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,7,13,165,4,,177,4,5,4,159,,5,18,1,153,,0.05,198,9,197,1,,0.238095238,0.8571428571428571,0.047619048,7.285714285714286,,0.002380952,9.428571428571429,0.4285714285714285,9.380952381,0.047619048,,4,4,4,4,,4,4,4,4,4,,8,8,8,8,,8,8,8,8,8,
,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,,Ran Singh,Ran Singh,Ran Singh,,14,14,14,14,14,14,,14,14,14,,All- Rounder,All- Rounder,All- Rounder,All- Rounder,All- Rounder,All- Rounder,,All- Rounder,All- Rounder,All- Rounder,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,89,45,117,15,46,95,,120,50,27,,1,25,1,5,1.79,27,,2,20,2,,0.071428571,1.7857142857142858,0.071428571,0.3571428571428571,0.1278571428571428,1.9285714285714288,,0.1428571428571428,1.4285714285714286,0.1428571428571428,,1,1,1,1,1,1,,1,1,1,,0,0,0,0,0,0,,0,0,0
,,Girish Maruti Ernak,,,Girish Maruti Ernak,Girish Maruti Ernak,,,Girish Maruti Ernak,,,,4,,,4,4,,,4,,,,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,,,Defender - Left Corner,,,,,,,,,,,,,,,MUM,,,MUM,MUM,,,MUM,,,,U Mumba,,,U Mumba,U Mumba,,,U Mumba,,,,133,,,101,188,,,122,,,,3,,,0.75,3,,,3,,,,0.75,,,0.1875,0.75,,,0.75,,,,5,,,5,5,,,5,,,,0,,,0,0,,,0,
Pardeep Narwal,Pardeep Narwal,,Pardeep Narwal,,,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,,,17,17,,17,,,17,17,17,,,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,,U.P.,U.P.,,U.P.,,,U.P.,U.P.,U.P.,,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,,24,17,,14,,,16,9,15,,,2,17,,99,,,122,6,122,,,0.1176470588235294,1,,5.823529411764706,,,7.176470588235294,0.3529411764705882,7.176470588235294,,,30,30,,30,,,30,30,30,,,8,8,,8,,,8,8,8,,
,,Ashish Sangwan,,,Ashish Sangwan,Ashish Sangwan,,,Ashish Sangwan,,,,3,,,3,3,,,3,,,,All-Rounder,,,All-Rounder,All-Rounder,,,All-Rounder,,,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,,,168,,,136,216,,,154,,,,1,,,0.33,1,,,1,,,,0.3333333333333333,,,0.11,0.3333333333333333,,,0.3333333333333333,,,,2,,,2,2,,,2,,,,0,,,0,0,,,0,
,K. Prapanjan,,K. Prapanjan,,,K. Prapanjan,,K. Prapanjan,,,,12,,12,,,12,,12,,,,Raider,,Raider,,,Raider,,Raider,,,,,,,,,,,,,,,HAR,,HAR,,,HAR,,HAR,,,,Haryana Steelers,,Haryana Steelers,,,Haryana Steelers,,Haryana Steelers,,,,46,,57,,,106,,55,,,,6,,16,,,22,,22,,,,0.5,,1.3333333333333333,,,1.8333333333333333,,1.8333333333333333,,,,28,,28,,,28,,28,,,,8,,8,,,8,,8,,
