player-raid-points_player_name,player-super-tackles_player_name,player-successful-tackles_player_name,player-dod-raid-points_player_name,player-super-raids_player_name,player-tackle-points_player_name,player-successful-raids_player_name,high-5s_player_name,player-avg-tackle-points_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_match_played,player-super-tackles_match_played,player-successful-tackles_match_played,player-dod-raid-points_match_played,player-super-raids_match_played,player-tackle-points_match_played,player-successful-raids_match_played,high-5s_match_played,player-avg-tackle-points_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_position_name,player-super-tackles_position_name,player-successful-tackles_position_name,player-dod-raid-points_position_name,player-super-raids_position_name,player-tackle-points_position_name,player-successful-raids_position_name,high-5s_position_name,player-avg-tackle-points_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_team,player-super-tackles_team,player-successful-tackles_team,player-dod-raid-points_team,player-super-raids_team,player-tackle-points_team,player-successful-raids_team,high-5s_team,player-avg-tackle-points_team,player-total-points_team,super-10s_team,player-raid-points_team_name,player-super-tackles_team_name,player-successful-tackles_team_name,player-dod-raid-points_team_name,player-super-raids_team_name,player-tackle-points_team_name,player-successful-raids_team_name,high-5s_team_name,player-avg-tackle-points_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-successful-tackles_team_full_name,player-dod-raid-points_team_full_name,player-super-raids_team_full_name,player-tackle-points_team_full_name,player-successful-raids_team_full_name,high-5s_team_full_name,player-avg-tackle-points_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_rank,player-super-tackles_rank,player-successful-tackles_rank,player-dod-raid-points_rank,player-super-raids_rank,player-tackle-points_rank,player-successful-raids_rank,high-5s_rank,player-avg-tackle-points_rank,player-total-points_rank,super-10s_rank,player-raid-points_value,player-super-tackles_value,player-successful-tackles_value,player-dod-raid-points_value,player-super-raids_value,player-tackle-points_value,player-successful-raids_value,high-5s_value,player-avg-tackle-points_value,player-total-points_value,super-10s_value,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-successful-tackles_points_per_match,player-dod-raid-points_points_per_match,player-super-raids_points_per_match,player-tackle-points_points_per_match,player-successful-raids_points_per_match,high-5s_points_per_match,player-avg-tackle-points_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_team_id,player-super-tackles_team_id,player-successful-tackles_team_id,player-dod-raid-points_team_id,player-super-raids_team_id,player-tackle-points_team_id,player-successful-raids_team_id,high-5s_team_id,player-avg-tackle-points_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_position_id,player-super-tackles_position_id,player-successful-tackles_position_id,player-dod-raid-points_position_id,player-super-raids_position_id,player-tackle-points_position_id,player-successful-raids_position_id,high-5s_position_id,player-avg-tackle-points_position_id,player-total-points_position_id,super-10s_position_id
Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,,Shabeer Bappu,Shabeer Bappu,,Shabeer Bappu,Shabeer Bappu,,14.0,14.0,14.0,14.0,,14.0,14.0,,14.0,14,,Defender,Defender,Defender,Defender,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,CHE,CHE,CHE,CHE,,CHE,CHE,,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,47.0,64.0,88.0,46.0,,86.0,47.0,,95.0,85,,22.0,1.0,6.0,5.0,,7.0,17.0,,0.5,29,,1.5714285714285714,0.0714285714285714,0.4285714285714285,0.3571428571428571,,0.5,1.2142857142857142,,0.0357142857142857,2.0714285714285716,,29.0,29.0,29.0,29.0,,29.0,29.0,,29.0,29,,9.0,9.0,9.0,9.0,,9.0,9.0,,9.0,9,
Shrikant Jadhav,,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,22.0,,22.0,22.0,22.0,22.0,22.0,,22.0,22,22.0,raider,,raider,raider,raider,raider,raider,,raider,raider,raider,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,8.0,,98.0,5.0,24.0,97.0,9.0,,134.0,9,12.0,148.0,,4.0,28.0,2.0,4.0,112.0,,0.18,152,3.0,6.7272727272727275,,0.1818181818181818,1.2727272727272727,0.0909090909090909,0.1818181818181818,5.090909090909091,,0.0081818181818181,6.909090909090909,0.1363636363636363,30.0,,30.0,30.0,30.0,30.0,30.0,,30.0,30,30.0,8.0,,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
Sukesh Hegde,,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,,Sukesh Hegde,Sukesh Hegde,,16.0,,16.0,16.0,16.0,16.0,16.0,,16.0,16,,Raider,,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,31.0,,127.0,19.0,11.0,119.0,35.0,,145.0,44,,61.0,,2.0,13.0,3.0,2.0,43.0,,0.13,63,,3.8125,,0.125,0.8125,0.1875,0.125,2.6875,,0.008125,3.9375,,4.0,,4.0,4.0,4.0,4.0,4.0,,4.0,4,,8.0,,8.0,8.0,8.0,8.0,8.0,,8.0,8,
Vikash Jaglan,Vikash Jaglan,Vikash Jaglan,Vikash Jaglan,,Vikash Jaglan,Vikash Jaglan,,Vikash Jaglan,Vikash Jaglan,,22.0,22.0,22.0,22.0,,22.0,22.0,,22.0,22,,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,PAT,PAT,PAT,PAT,,PAT,PAT,,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,61.0,65.0,45.0,45.0,,46.0,66.0,,62.0,83,,12.0,1.0,21.0,6.0,,22.0,7.0,,1.0,34,,0.5454545454545454,0.0454545454545454,0.9545454545454546,0.2727272727272727,,1.0,0.3181818181818182,,0.0454545454545454,1.5454545454545454,,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,6,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,
Vishal Mane,,Vishal Mane,,,Vishal Mane,,,Vishal Mane,Vishal Mane,,23.0,,23.0,,,23.0,,,23.0,23,,Defender,,Defender,,,Defender,,,Defender,Defender,,,,,,,,,,,,,DEL,,DEL,,,DEL,,,DEL,DEL,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,115.0,,40.0,,,40.0,,,56.0,86,,1.0,,27.0,,,27.0,,,1.17,28,,0.0434782608695652,,1.173913043478261,,,1.173913043478261,,,0.0508695652173913,1.2173913043478262,,2.0,,2.0,,,2.0,,,2.0,2,,9.0,,9.0,,,9.0,,,9.0,9,
Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,24.0,24.0,24.0,24.0,,24.0,24.0,24.0,24.0,24,,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,53.0,13.0,15.0,67.0,,13.0,52.0,23.0,22.0,30,,20.0,5.0,51.0,2.0,,56.0,15.0,2.0,2.33,76,,0.8333333333333334,0.2083333333333333,2.125,0.0833333333333333,,2.3333333333333335,0.625,0.0833333333333333,0.0970833333333333,3.1666666666666665,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,
Maninder Singh,,,Maninder Singh,Maninder Singh,,Maninder Singh,,,Maninder Singh,Maninder Singh,20.0,,,20.0,20.0,,20.0,,,20,20.0,raider,,,raider,raider,,raider,,,raider,raider,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,,,KOL,KOL,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,5.0,,,9.0,6.0,,5.0,,,5,5.0,205.0,,,24.0,5.0,,171.0,,,205,10.0,10.25,,,1.2,0.25,,8.55,,,10.25,0.5,4.0,,,4.0,4.0,,4.0,,,4,4.0,8.0,,,8.0,8.0,,8.0,,,8,8.0
Prashanth Rai,,,Prashanth Rai,Prashanth Rai,,Prashanth Rai,,,Prashanth Rai,Prashanth Rai,16.0,,,16.0,16.0,,16.0,,,16,16.0,raider,,,raider,raider,,raider,,,raider,raider,,,,,,,,,,,,HAR,,,HAR,HAR,,HAR,,,HAR,HAR,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,21.0,,,35.0,35.0,,21.0,,,21,25.0,91.0,,,8.0,1.0,,71.0,,,91,2.0,5.6875,,,0.5,0.0625,,4.4375,,,5.6875,0.125,28.0,,,28.0,28.0,,28.0,,,28,28.0,8.0,,,8.0,8.0,,8.0,,,8,8.0
Pawan Kumar,,,Pawan Kumar,,,Pawan Kumar,,,Pawan Kumar,Pawan Kumar,6.0,,,6.0,,,6.0,,,6,6.0,Raider,,,Raider,,,Raider,,,Raider,Raider,,,,,,,,,,,,PUN,,,PUN,,,PUN,,,PUN,PUN,Puneri Paltan,,,Puneri Paltan,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,46.0,,,47.0,,,46.0,,,91,26.0,25.0,,,5.0,,,19.0,,,25,1.0,4.166666666666667,,,0.8333333333333334,,,3.1666666666666665,,,4.166666666666667,0.1666666666666666,7.0,,,7.0,,,7.0,,,7,7.0,8.0,,,8.0,,,8.0,,,8,8.0
,,Ravinder Pahal,,,Ravinder Pahal,,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,,,,23.0,,,23.0,,23.0,23.0,23,,,,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,,,DEL,,DEL,DEL,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,5.0,,,8.0,,20.0,12.0,43,,,,63.0,,,63.0,,3.0,2.74,63,,,,2.739130434782609,,,2.739130434782609,,0.1304347826086956,0.1191304347826087,2.739130434782609,,,,2.0,,,2.0,,2.0,2.0,2,,,,9.0,,,9.0,,9.0,9.0,9,
Ran Singh,Ran Singh,Ran Singh,Ran Singh,,Ran Singh,Ran Singh,,Ran Singh,Ran Singh,,21.0,21.0,21.0,21.0,,21.0,21.0,,21.0,21,,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,CHE,CHE,CHE,CHE,,CHE,CHE,,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,62.0,27.0,33.0,81.0,,34.0,67.0,,39.0,69,,11.0,3.0,32.0,1.0,,35.0,7.0,,1.67,46,,0.5238095238095238,0.1428571428571428,1.5238095238095235,0.0476190476190476,,1.6666666666666667,0.3333333333333333,,0.0795238095238095,2.1904761904761907,,29.0,29.0,29.0,29.0,,29.0,29.0,,29.0,29,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,
Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,,,Girish Maruti Ernak,,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,,17.0,17.0,17.0,,,17.0,,17.0,17.0,17,,Defender,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,PUN,PUN,,,PUN,,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,114.0,28.0,34.0,,,35.0,,41.0,30.0,82,,1.0,3.0,31.0,,,34.0,,1.0,2.0,35,,0.0588235294117647,0.1764705882352941,1.8235294117647056,,,2.0,,0.0588235294117647,0.1176470588235294,2.0588235294117645,,7.0,7.0,7.0,,,7.0,,7.0,7.0,7,,9.0,9.0,9.0,,,9.0,,9.0,9.0,9,
,Vikas kale,Vikas kale,,,Vikas kale,,Vikas kale,Vikas kale,Vikas kale,,,21.0,21.0,,,21.0,,21.0,21.0,21,,,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,HAR,HAR,,,HAR,,HAR,HAR,HAR,,,Haryana Steelers,Haryana Steelers,,,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,,47.0,28.0,,,28.0,,21.0,33.0,78,,,2.0,37.0,,,39.0,,2.0,1.86,39,,,0.0952380952380952,1.761904761904762,,,1.8571428571428572,,0.0952380952380952,0.0885714285714285,1.8571428571428572,,,28.0,28.0,,,28.0,,28.0,28.0,28,,,9.0,9.0,,,9.0,,9.0,9.0,9,
,,Vijin Thangadurai,,,Vijin Thangadurai,,,Vijin Thangadurai,Vijin Thangadurai,,,,3.0,,,3.0,,,3.0,3,,,,Defender,,,Defender,,,Defender,Defender,,,,,,,,,,,,,,,KOL,,,KOL,,,KOL,KOL,,,,Bengal Warriors,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,,,131.0,,,153.0,,,115.0,180,,,,1.0,,,1.0,,,0.33,1,,,,0.3333333333333333,,,0.3333333333333333,,,0.11,0.3333333333333333,,,,4.0,,,4.0,,,4.0,4,,,,9.0,,,9.0,,,9.0,9,
