player-raid-points_player_name,player-super-tackles_player_name,player-successful-tackles_player_name,player-dod-raid-points_player_name,player-super-raids_player_name,player-tackle-points_player_name,player-successful-raids_player_name,high-5s_player_name,player-avg-tackle-points_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_match_played,player-super-tackles_match_played,player-successful-tackles_match_played,player-dod-raid-points_match_played,player-super-raids_match_played,player-tackle-points_match_played,player-successful-raids_match_played,high-5s_match_played,player-avg-tackle-points_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_position_name,player-super-tackles_position_name,player-successful-tackles_position_name,player-dod-raid-points_position_name,player-super-raids_position_name,player-tackle-points_position_name,player-successful-raids_position_name,high-5s_position_name,player-avg-tackle-points_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_team,player-super-tackles_team,player-successful-tackles_team,player-dod-raid-points_team,player-super-raids_team,player-tackle-points_team,player-successful-raids_team,high-5s_team,player-avg-tackle-points_team,player-total-points_team,super-10s_team,player-raid-points_team_name,player-super-tackles_team_name,player-successful-tackles_team_name,player-dod-raid-points_team_name,player-super-raids_team_name,player-tackle-points_team_name,player-successful-raids_team_name,high-5s_team_name,player-avg-tackle-points_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-successful-tackles_team_full_name,player-dod-raid-points_team_full_name,player-super-raids_team_full_name,player-tackle-points_team_full_name,player-successful-raids_team_full_name,high-5s_team_full_name,player-avg-tackle-points_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_rank,player-super-tackles_rank,player-successful-tackles_rank,player-dod-raid-points_rank,player-super-raids_rank,player-tackle-points_rank,player-successful-raids_rank,high-5s_rank,player-avg-tackle-points_rank,player-total-points_rank,super-10s_rank,player-raid-points_value,player-super-tackles_value,player-successful-tackles_value,player-dod-raid-points_value,player-super-raids_value,player-tackle-points_value,player-successful-raids_value,high-5s_value,player-avg-tackle-points_value,player-total-points_value,super-10s_value,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-successful-tackles_points_per_match,player-dod-raid-points_points_per_match,player-super-raids_points_per_match,player-tackle-points_points_per_match,player-successful-raids_points_per_match,high-5s_points_per_match,player-avg-tackle-points_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_team_id,player-super-tackles_team_id,player-successful-tackles_team_id,player-dod-raid-points_team_id,player-super-raids_team_id,player-tackle-points_team_id,player-successful-raids_team_id,high-5s_team_id,player-avg-tackle-points_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_position_id,player-super-tackles_position_id,player-successful-tackles_position_id,player-dod-raid-points_position_id,player-super-raids_position_id,player-tackle-points_position_id,player-successful-raids_position_id,high-5s_position_id,player-avg-tackle-points_position_id,player-total-points_position_id,super-10s_position_id
Jang Lee,Jang Lee,Jang Lee,Jang Lee,,Jang Lee,Jang Lee,,Jang Lee,Jang Lee,,16.0,16.0,16.0,16.0,,16.0,16.0,,16.0,16,,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,PAT,PAT,PAT,PAT,,PAT,PAT,,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,32.0,67.0,128.0,17.0,,115.0,32.0,,133.0,45,,60.0,1.0,2.0,15.0,,3.0,47.0,,0.19,63,,3.75,0.0625,0.125,0.9375,,0.1875,2.9375,,0.011875,3.9375,,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,6,,8.0,8.0,8.0,8.0,,8.0,8.0,,8.0,8,
Ajay Thakur,,,Ajay Thakur,Ajay Thakur,,Ajay Thakur,,,Ajay Thakur,Ajay Thakur,13.0,,,13.0,13.0,,13.0,,,13,13.0,Raider,,,Raider,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,CHE,,,CHE,CHE,,CHE,,,CHE,CHE,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,36.0,,,34.0,20.0,,33.0,,,51,28.0,58.0,,,8.0,2.0,,47.0,,,58,1.0,4.461538461538462,,,0.6153846153846154,0.1538461538461538,,3.6153846153846154,,,4.461538461538462,0.0769230769230769,29.0,,,29.0,29.0,,29.0,,,29,29.0,8.0,,,8.0,8.0,,8.0,,,8,8.0
Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,22.0,22,22.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,15.0,68.0,87.0,22.0,21.0,85.0,15.0,,116.0,14,24.0,118.0,1.0,6.0,11.0,2.0,7.0,89.0,,0.32,125,2.0,5.363636363636363,0.0454545454545454,0.2727272727272727,0.5,0.0909090909090909,0.3181818181818182,4.045454545454546,,0.0145454545454545,5.681818181818182,0.0909090909090909,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,,Deepak Hooda,Deepak Hooda,Deepak Hooda,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,20.0,20,20.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,9.0,49.0,65.0,8.0,22.0,65.0,8.0,,87.0,8,8.0,146.0,2.0,10.0,25.0,2.0,12.0,113.0,,0.6,158,7.0,7.3,0.1,0.5,1.25,0.1,0.6,5.65,,0.03,7.9,0.35,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0
Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,19.0,19.0,19.0,,,19.0,19.0,19.0,19.0,19,,Defender,Defender,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HAR,HAR,HAR,,,HAR,HAR,HAR,HAR,HAR,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,94.0,20.0,24.0,,,24.0,112.0,37.0,23.0,70,,3.0,4.0,39.0,,,43.0,1.0,1.0,2.26,46,,0.1578947368421052,0.2105263157894736,2.0526315789473686,,,2.263157894736842,0.0526315789473684,0.0526315789473684,0.1189473684210526,2.4210526315789473,,28.0,28.0,28.0,,,28.0,28.0,28.0,28.0,28,,9.0,9.0,9.0,,,9.0,9.0,9.0,9.0,9,
GURVINDER SINGH,,,,,,GURVINDER SINGH,,,GURVINDER SINGH,,2.0,,,,,,2.0,,,2,,All Rounder,,,,,,All Rounder,,,All Rounder,,,,,,,,,,,,,GUJ,,,,,,GUJ,,,GUJ,,Gujarat Giants,,,,,,Gujarat Giants,,,Gujarat Giants,,92.0,,,,,,87.0,,,164,,4.0,,,,,,3.0,,,4,,2.0,,,,,,1.5,,,2.0,,31.0,,,,,,31.0,,,31,,0.0,,,,,,0.0,,,0,
,Jeeva Kumar,Jeeva Kumar,,,Jeeva Kumar,,,Jeeva Kumar,Jeeva Kumar,,,22.0,22.0,,,22.0,,,22.0,22,,,Defender,Defender,,,Defender,,,Defender,Defender,,,,,,,,,,,,,,KOL,KOL,,,KOL,,,KOL,KOL,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,,66.0,26.0,,,27.0,,,37.0,77,,,1.0,38.0,,,39.0,,,1.77,39,,,0.0454545454545454,1.7272727272727273,,,1.7727272727272727,,,0.0804545454545454,1.7727272727272727,,,4.0,4.0,,,4.0,,,4.0,4,,,9.0,9.0,,,9.0,,,9.0,9,
Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,15.0,15.0,15.0,,,15.0,,15.0,15.0,15,,All Rounder,All Rounder,All Rounder,,,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,CHE,CHE,CHE,,,CHE,,CHE,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,93.0,50.0,30.0,,,31.0,,22.0,18.0,74,,4.0,2.0,35.0,,,37.0,,2.0,2.47,41,,0.2666666666666666,0.1333333333333333,2.3333333333333335,,,2.466666666666667,,0.1333333333333333,0.1646666666666666,2.7333333333333334,,29.0,29.0,29.0,,,29.0,,29.0,29.0,29,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0,
,Mohit Chhillar,Mohit Chhillar,,,Mohit Chhillar,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,,18.0,18.0,,,18.0,,18.0,18.0,18,,,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,CHE,CHE,,,CHE,,CHE,CHE,CHE,,,Tamil Thalaivas,Tamil Thalaivas,,,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,,25.0,31.0,,,32.0,,38.0,28.0,79,,,3.0,34.0,,,37.0,,1.0,2.06,37,,,0.1666666666666666,1.8888888888888888,,,2.0555555555555554,,0.0555555555555555,0.1144444444444444,2.0555555555555554,,,29.0,29.0,,,29.0,,29.0,29.0,29,,,9.0,9.0,,,9.0,,9.0,9.0,9,
Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,22.0,,22.0,22.0,,22.0,22.0,,22.0,22,22.0,Raider,,Raider,Raider,,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,CHE,,CHE,CHE,,CHE,CHE,,CHE,CHE,CHE,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,11.0,,72.0,7.0,,77.0,10.0,,111.0,12,11.0,130.0,,8.0,26.0,,8.0,109.0,,0.36,138,4.0,5.909090909090909,,0.3636363636363636,1.181818181818182,,0.3636363636363636,4.954545454545454,,0.0163636363636363,6.2727272727272725,0.1818181818181818,29.0,,29.0,29.0,,29.0,29.0,,29.0,29,29.0,8.0,,8.0,8.0,,8.0,8.0,,8.0,8,8.0
,,Rajaguru Subramanian,,,Rajaguru Subramanian,,,Rajaguru Subramanian,Rajaguru Subramanian,,,,5.0,,,5.0,,,5.0,5,,,,Defender,,,Defender,,,Defender,Defender,,,,,,,,,,,,,,,MUM,,,MUM,,,MUM,MUM,,,,U Mumba,,,U Mumba,,,U Mumba,U Mumba,,,,129.0,,,120.0,,,108.0,179,,,,2.0,,,2.0,,,0.4,2,,,,0.4,,,0.4,,,0.08,0.4,,,,5.0,,,5.0,,,5.0,5,,,,9.0,,,9.0,,,9.0,9,
Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,18.0,,18.0,18.0,18.0,18.0,18.0,,18.0,18,18.0,Raider,,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,24.0,,130.0,36.0,23.0,121.0,23.0,,148.0,29,29.0,75.0,,2.0,8.0,2.0,2.0,62.0,,0.11,77,1.0,4.166666666666667,,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.1111111111111111,3.4444444444444446,,0.0061111111111111,4.277777777777778,0.0555555555555555,30.0,,30.0,30.0,30.0,30.0,30.0,,30.0,30,30.0,8.0,,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
