Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Adarsh T,2,12,8%,,100.00%,
,3,18,12%,22.20%,50.00%,27.80%
,4,19,13%,36.80%,31.60%,31.60%
,5,34,23%,52.90%,29.40%,17.60%
,6,18,12%,22.20%,44.40%,33.30%
,7,46,31%,50.00%,21.70%,28.30%
Akash Choudhary,3,1,33%,100.00%,,
,5,1,33%,100.00%,,
,7,1,33%,100.00%,,
Amit Chauhan,5,1,20%,,,100.00%
,6,2,40%,100.00%,,
,7,2,40%,,,100.00%
Ankit Beniwal,2,9,4%,,66.70%,33.30%
,3,16,7%,37.50%,37.50%,25.00%
,4,33,14%,36.40%,33.30%,30.30%
,5,42,18%,40.50%,19.00%,40.50%
,6,50,21%,22.00%,48.00%,30.00%
,7,88,37%,33.00%,36.40%,30.70%
C. Arun,7,2,100%,,,100.00%
Galla Raju,4,7,8%,42.90%,28.60%,28.60%
,5,16,17%,56.30%,12.50%,31.30%
,6,18,20%,38.90%,38.90%,22.20%
,7,51,55%,29.40%,39.20%,31.40%
Hyunsu Park,4,1,17%,,,100.00%
,6,1,17%,,,100.00%
,7,4,67%,,50.00%,50.00%
Muhammed Shihas S,6,3,25%,100.00%,,
,7,9,75%,55.60%,11.10%,33.30%
Prince D,5,1,10%,100.00%,,
,6,1,10%,,,100.00%
,7,8,80%,37.50%,25.00%,37.50%
Rajnish,2,2,1%,,50.00%,50.00%
,3,13,7%,38.50%,38.50%,23.10%
,4,9,5%,55.60%,33.30%,11.10%
,5,33,17%,45.50%,21.20%,33.30%
,6,68,36%,27.90%,48.50%,23.50%
,7,65,34%,24.60%,56.90%,18.50%
Rakesh Gowda,3,2,2%,100.00%,,
,4,5,6%,80.00%,,20.00%
,5,13,16%,61.50%,23.10%,15.40%
,6,16,19%,50.00%,37.50%,12.50%
,7,47,57%,23.40%,40.40%,36.20%
Rohit Kumar,2,4,8%,25.00%,25.00%,50.00%
,3,2,4%,100.00%,,
,4,4,8%,25.00%,25.00%,50.00%
,5,6,12%,83.30%,,16.70%
,6,12,24%,50.00%,33.30%,16.70%
,7,21,43%,47.60%,28.60%,23.80%
Ruturaj Koravi,6,1,33%,100.00%,,
,7,2,67%,100.00%,,
Sandeep Kandola,4,1,33%,,,100.00%
,6,1,33%,100.00%,,
,7,1,33%,100.00%,,
Siddharth Desai,1,1,2%,,100.00%,
,2,4,8%,,75.00%,25.00%
,3,4,8%,50.00%,,50.00%
,4,6,12%,83.30%,,16.70%
,5,2,4%,50.00%,50.00%,
,6,15,31%,6.70%,53.30%,40.00%
,7,17,35%,11.80%,52.90%,35.30%
Surinder Singh,4,1,7%,100.00%,,
,5,2,13%,100.00%,,
,6,5,33%,100.00%,,
,7,7,47%,71.40%,,28.60%
