Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajinkya Pawar,2,8,4%,37.50%,62.50%,
,3,22,10%,45.50%,36.40%,18.20%
,4,35,16%,51.40%,31.40%,17.10%
,5,34,16%,61.80%,14.70%,23.50%
,6,38,18%,39.50%,34.20%,26.30%
,7,76,36%,23.70%,53.90%,22.40%
Anwar Saheed Baba,5,1,50%,,,100.00%
,6,1,50%,100.00%,,
Athul MS,3,3,4%,100.00%,,
,4,4,5%,75.00%,,25.00%
,5,10,14%,60.00%,10.00%,30.00%
,6,21,29%,38.10%,47.60%,14.30%
,7,35,48%,34.30%,28.60%,37.10%
Bhavani Rajput,3,2,2%,50.00%,,50.00%
,4,7,6%,71.40%,14.30%,14.30%
,5,28,25%,57.10%,21.40%,21.40%
,6,29,26%,31.00%,41.40%,27.60%
,7,45,41%,28.90%,31.10%,40.00%
Himanshu,2,3,4%,,66.70%,33.30%
,3,4,5%,100.00%,,
,4,13,17%,23.10%,23.10%,53.80%
,5,15,19%,60.00%,20.00%,20.00%
,6,21,27%,23.80%,66.70%,9.50%
,7,22,28%,18.20%,36.40%,45.50%
Himanshu Singh,4,4,17%,25.00%,,75.00%
,5,4,17%,75.00%,25.00%,
,6,3,13%,33.30%,33.30%,33.30%
,7,12,52%,33.30%,25.00%,41.70%
K Prapanjan,2,3,5%,33.30%,33.30%,33.30%
,3,5,8%,80.00%,20.00%,
,4,7,12%,57.10%,14.30%,28.60%
,5,9,15%,44.40%,,55.60%
,6,10,17%,40.00%,40.00%,20.00%
,7,25,42%,32.00%,40.00%,28.00%
Manjeet,1,5,2%,,100.00%,
,2,16,5%,,68.80%,31.30%
,3,22,7%,54.50%,27.30%,18.20%
,4,38,12%,52.60%,21.10%,26.30%
,5,59,18%,49.20%,25.40%,25.40%
,6,75,23%,30.70%,45.30%,24.00%
,7,110,34%,26.40%,51.80%,21.80%
Mohit,7,7,100%,57.10%,,42.90%
Sagar,7,1,100%,,,100.00%
Sagar Krishna,7,1,100%,,,100.00%
Sandaruwan Asiri,5,1,13%,100.00%,,
,6,2,25%,50.00%,50.00%,
Sandaruwan Asiri,7,5,63%,60.00%,,40.00%
Surjeet Singh,4,1,6%,100.00%,,
,5,5,28%,80.00%,20.00%,
,6,2,11%,100.00%,,
,7,10,56%,70.00%,,30.00%
