Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sunil,116,41,35%
Kuldeep Singh,100,46,46%
Sachin Shingade,64,22,34%
Mayur Shivtarkar,58,19,33%
Parveen,53,19,36%
Naveen,32,12,38%
Sudhanshu Tyagi,25,4,16%
Monu Goyat,22,4,18%
Vikash Khandola,14,6,43%
Surender Nada,6,4,67%
Prateek,5,2,40%
Anand Surendra Tomar,4,1,25%
Wazir Singh,2,0,0%
Arun Kumar HN,1,0,0%
