Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Nitesh Kumar,157,93,59%
Narender,111,36,32%
Sachin Kumar,91,39,43%
Jeeva Kumar,80,36,45%
Sagar Krishna,47,18,38%
Amit,28,5,18%
Rishank Devadiga,16,5,31%
Shrikant Jadhav,8,4,50%
Prashanth Kumar Rai,8,2,25%
Azad Singh,5,2,40%
Pankaj,3,1,33%
Aashish Nagar,3,1,33%
Bhanu Tomar,2,0,0%
Raju Lal Choudhary,1,1,100%
Ponparthiban Subramani..,1,0,0%
Amit Hooda,1,0,0%
