Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Girish Maruti Ernak,107,51,48%
Ravi Kumar,89,33,37%
Sandeep Narwal,73,34,47%
Rinku Narwal,46,21,46%
Shubham Shinde,30,10,33%
Akshay Jadhav,27,12,44%
Monu,22,10,45%
More G B,21,10,48%
Sandeep,10,2,20%
Parvesh,10,4,40%
Nitin Tomar,9,2,22%
Vinod Kumar,6,0,0%
Deepak Kumar Dahiya,6,2,33%
Rajesh Mondal,2,0,0%
Amit Kumar,2,0,0%
