Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Surinder Singh,148,60,41%
Kuldeep Singh,73,25,34%
Anup Kumar,58,20,34%
Hadi Oshtorak,55,17,31%
Joginder Narwal,26,9,35%
N. Renjith,25,11,44%
Shrikant Jadhav,21,10,48%
Darshan Kadian,19,4,21%
Kashiling Adake,15,7,47%
D. Suresh Kumar,14,6,43%
Deepak Yadav,12,7,58%
Shabeer Bappu,8,2,25%
E Subash,6,2,33%
Nitin Madane,5,0,0%
Shiv Om,3,0,0%
Dong Ju Hong,2,0,0%
Yong Joo Ok,1,0,0%
