Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Abozar Mighani,113,65,58%
Fazel Atrachali,95,54,57%
Sunil Kumar,91,56,62%
Parvesh Bhainswal,87,44,51%
Sachin,18,13,72%
Rohit Gulia,17,3,18%
Mahendra Rajput,13,5,38%
Sukesh Hegde,7,2,29%
Chandran Ranjit,4,0,0%
Manoj Kumar,3,1,33%
Mahipal Narwal,3,0,0%
Rakesh Narwal,2,1,50%
Vikas Kale,1,0,0%
Pawan Sehrawat,1,1,100%
C Kalai Arasan,1,0,0%
