,Player_Name,Tournament,Team,Price,Status
70,fazel atrachali,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
71,fazel atrachali,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
72,fazel atrachali,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
73,fazel atrachali,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
74,fazel atrachali,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
75,anup kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
76,anup kumar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
77,anup kumar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
78,anup kumar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
79,anup kumar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
80,kashiling adake,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
81,kashiling adake,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
82,kashiling adake,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
83,kashiling adake,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
84,kashiling adake,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
85,nitesh kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
86,nitesh kumar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
87,nitesh kumar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
88,nitesh kumar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
89,nitesh kumar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
90,arjun deshwal,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
91,arjun deshwal,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
92,arjun deshwal,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
93,arjun deshwal,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
94,arjun deshwal,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
95,nitin tomar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
96,nitin tomar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
97,nitin tomar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
98,nitin tomar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
99,nitin tomar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
100,rohit kumar,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
101,rohit kumar,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
102,rohit kumar,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
103,rohit kumar,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
104,ravinder pahal,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
105,ravinder pahal,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
106,ravinder pahal,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
107,ravinder pahal,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
108,mohit goyat,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
109,mohit goyat,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
110,mohit goyat,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
111,mohit goyat,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
112,siddharth sirish desai,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
113,siddharth sirish desai,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
114,siddharth sirish desai,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
115,siddharth sirish desai,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
116,sandeep dhull,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
117,sandeep dhull,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
