Player_Name,Tournament,Team,Price,Status
Shrikant Jadhav,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Fazel Atrachali,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Fazel Atrachali,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Fazel Atrachali,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Fazel Atrachali,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Fazel Atrachali,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Anup Kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Anup Kumar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Anup Kumar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Anup Kumar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Anup Kumar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Kashiling Adake,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Kashiling Adake,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Kashiling Adake,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Kashiling Adake,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Kashiling Adake,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Nitesh Kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Nitesh Kumar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Nitesh Kumar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Nitesh Kumar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Nitesh Kumar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Arjun Deshwal,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Arjun Deshwal,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Arjun Deshwal,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Arjun Deshwal,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Arjun Deshwal,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Nitin Tomar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Nitin Tomar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Nitin Tomar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Nitin Tomar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Nitin Tomar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Rohit Kumar,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Rohit Kumar,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Rohit Kumar,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Rohit Kumar,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Ravinder Pahal,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Ravinder Pahal,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Ravinder Pahal,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Ravinder Pahal,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Mohit Goyat,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Mohit Goyat,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Mohit Goyat,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Mohit Goyat,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Siddharth Sirish Desai,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Siddharth Sirish Desai,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Siddharth Sirish Desai,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Siddharth Sirish Desai,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Sandeep Dhull,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Sandeep Dhull,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Sandeep Dhull,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Sandeep Dhull,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Rohit Gulia,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Rohit Gulia,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Rohit Gulia,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Rohit Gulia,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Sunil Kumar,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Sunil Kumar,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Sunil Kumar,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Sunil Kumar,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Monu Goyat,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Monu Goyat,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Monu Goyat,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Monu Goyat,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Ashu Malik,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
