season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total_touch_points_value,Total_bonus_points_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-raid-points_value,team-avg-points-scored_value,team-average-tackle-points_value,team-all-outs-conceded_per-match,team-super-raid_per-match,team-raid_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-all-outs-inflicted_per-match,team-successful-tackles_per-match
9,4,Bengal Warriors,22,4,6,6,7,1,11,5,8,11,7,8,6,9,8,8,7,10,8,32,37.36,22,924,40.91,60,10,357,132,489,378,816,214,804,204,9.27,30,22.23,36.55,9.73,1.455,1,42,2.727,0.455,16.227,6,22.227,17.182,37.091,9.727,36.545,1.364,9.273
9,5,U Mumba,22,11,11,10,2,7,12,11,4,2,11,12,12,5,11,5,11,3,6,27,42.94,12,922,31.89,75,30,318,100,384,294,743,246,715,216,9.82,23,17.45,32.5,11.18,1.227,0.545,41.909,3.409,1.364,14.455,4.545,17.455,13.364,33.773,11.182,32.5,1.045,9.818
9,6,Patna Pirates,22,10,10,4,9,11,7,10,1,6,10,10,9,10,10,9,9,9,10,34,36.5,9,953,35.99,107,18,283,101,418,343,781,214,723,196,8.91,28,19,32.86,9.73,1.545,0.409,43.318,4.864,0.818,12.864,4.591,19,15.591,35.5,9.727,32.864,1.273,8.909
9,7,Puneri Paltan,24,7,7,11,3,10,4,6,3,10,5,5,8,4,4,3,3,6,3,26,40.61,11,1006,40.85,80,14,395,112,507,411,808,252,872,238,9.92,38,21.13,36.33,10.5,1.083,0.458,41.917,3.333,0.583,16.458,4.667,21.125,17.125,33.667,10.5,36.333,1.583,9.917
9,8,Telugu Titans,22,12,12,1,12,12,8,12,11,1,12,11,3,11,12,12,12,11,12,48,30,6,939,31.63,57,37,261,115,376,297,878,202,633,165,7.5,11,17.09,28.77,9.18,2.182,0.273,42.682,2.591,1.682,11.864,5.227,17.091,13.5,39.909,9.182,28.773,0.5,7.5
9,28,Haryana Steelers,22,8,9,9,4,6,10,8,12,8,9,9,11,8,9,7,10,7,7,29,39.06,13,928,38.69,50,17,347,111,458,359,754,224,770,207,9.41,25,20.82,35,10.18,1.318,0.591,42.182,2.273,0.773,15.773,5.045,20.818,16.318,34.273,10.182,35,1.136,9.409
9,29,Tamil Thalaivas,24,9,8,5,6,9,1,9,2,3,8,7,4,2,6,2,8,2,2,33,37.44,11,1041,36.7,98,28,351,136,487,382,850,271,853,243,10.13,30,20.29,35.54,11.29,1.375,0.458,43.375,4.083,1.167,14.625,5.667,20.292,15.917,35.417,11.292,35.542,1.25,10.125
9,30,U.P. Yoddhas,23,5,5,8,8,3,5,7,5,4,6,6,7,7,5,10,4,8,9,29,36.79,20,974,39.43,70,22,372,132,504,384,812,224,854,202,8.78,37,21.91,37.13,9.74,1.261,0.87,42.348,3.043,0.957,16.174,5.739,21.913,16.696,35.304,9.739,37.13,1.609,8.783
9,31,Gujarat Giants,22,1,4,7,11,4,9,1,7,12,2,4,5,12,7,11,5,12,11,30,32.66,16,935,44.92,63,3,405,144,549,420,849,180,833,177,8.05,34,24.95,37.86,8.18,1.364,0.727,42.5,2.864,0.136,18.409,6.545,24.955,19.091,38.591,8.182,37.864,1.545,8.045
10,1,Bengaluru Bulls,22,11,12,6,3,2,11,11,8,9,12,12,7,7,12,4,9,5,6,31,43.74,16,956,32.53,72,19,,,406,311,801,246,734,227,10.32,25,18.45,33.36,11.18,1.409,0.727,43.455,3.273,0.864,0,0,18.455,14.136,36.409,11.182,33.364,1.136,10.318
10,2,Dabang Delhi K.C.,23,4,8,7,7,4,7,2,5,11,5,3,9,8,6,8,3,9,8,28,39.12,13,975,40,74,18,,,474,390,778,239,829,221,9.61,34,20.61,36.04,10.39,1.217,0.565,42.391,3.217,0.783,0,0,20.609,16.957,33.826,10.391,36.043,1.478,9.609
10,3,Jaipur Pink Panthers,23,5,5,11,6,5,5,6,3,3,6,6,11,5,4,6,2,4,5,20,41.64,13,984,37.5,84,31,,,464,369,706,260,843,229,9.96,35,20.17,36.65,11.3,0.87,0.565,42.783,3.652,1.348,0,0,20.174,16.043,30.696,11.304,36.652,1.522,9.957
10,4,Bengal Warriors,22,1,3,2,12,6,12,1,12,12,1,4,4,12,7,12,8,12,12,39,33.86,12,949,40.67,53,12,,,504,386,863,204,820,192,8.73,31,22.91,37.27,9.27,1.773,0.545,43.136,2.409,0.545,0,0,22.909,17.545,39.227,9.273,37.273,1.409,8.727
10,5,U Mumba,22,2,7,5,10,9,10,3,10,4,4,7,3,10,8,11,10,10,11,34,35.16,10,956,38.39,61,28,,,486,367,875,227,796,199,9.05,23,22.09,36.18,10.32,1.545,0.455,43.455,2.773,1.273,0,0,22.091,16.682,39.773,10.318,36.182,1.045,9.045
10,6,Patna Pirates,24,3,6,8,8,10,2,4,2,6,2,1,6,4,3,5,4,6,4,27,38.66,10,1043,38.35,91,24,,,495,400,838,266,874,242,10.08,34,20.63,36.42,11.08,1.125,0.417,43.458,3.792,1,0,0,20.625,16.667,34.917,11.083,36.417,1.417,10.083
10,7,Puneri Paltan,24,9,1,12,1,11,3,5,1,10,7,2,12,1,1,1,1,1,1,14,54.71,10,1022,38.26,102,18,,,464,391,678,349,950,331,13.79,46,19.33,39.58,14.54,0.583,0.417,42.583,4.25,0.75,0,0,19.333,16.292,28.25,14.542,39.583,1.917,13.792
10,8,Telugu Titans,22,10,11,1,11,7,4,12,9,7,11,11,1,9,11,9,12,8,9,53,34.72,12,1002,31.14,64,23,,,413,312,979,232,736,209,9.5,19,18.77,33.45,10.55,2.409,0.545,45.545,2.909,1.045,0,0,18.773,14.182,44.5,10.545,33.455,0.864,9.5
10,28,Haryana Steelers,25,8,4,4,4,3,1,8,6,1,3,5,2,2,2,3,7,3,2,35,43.66,16,1088,34.74,73,33,,,492,378,915,329,920,296,11.84,31,19.68,36.8,13.16,1.4,0.64,43.52,2.92,1.32,0,0,19.68,15.12,36.6,13.16,36.8,1.24,11.84
10,29,Tamil Thalaivas,22,6,2,9,2,12,8,7,7,2,8,8,8,3,5,2,5,2,3,24,43.93,8,974,37.47,73,31,,,443,365,800,295,832,264,12,34,20.14,37.82,13.41,1.091,0.364,44.273,3.318,1.409,0,0,20.136,16.591,36.364,13.409,37.818,1.545,12
10,30,U.P. Yoddhas,22,7,10,3,9,8,6,9,11,5,9,9,5,11,10,10,11,11,10,39,36.83,10,981,34.45,60,24,,,434,338,859,224,743,200,9.09,23,19.73,33.77,10.18,1.773,0.455,44.591,2.727,1.091,0,0,19.727,15.364,39.045,10.182,33.773,1.045,9.091
10,31,Gujarat Giants,23,12,9,10,5,1,9,10,4,8,10,10,10,6,9,7,6,7,7,23,41.77,18,974,34.09,83,23,,,422,332,770,249,785,226,9.83,32,18.35,34.13,10.83,1,0.783,42.348,3.609,1,0,0,18.348,14.435,33.478,10.826,34.13,1.391,9.826
all,1,Bengaluru Bulls,200,5,4,3,,3,,,7,6,2,2,4,4,2,,2,9,4,252,,115,,,639,154,,,3916,3109,6647,1978,6755,1822,,265,19.58,33.77,9.89,1.26,0.575,0,3.195,0.77,0,0,19.58,15.545,33.235,9.89,33.775,1.325,9.11
all,2,Dabang Delhi K.C.,196,4,7,2,,7,,,6,7,3,3,3,7,5,,6,11,7,273,,94,,,643,142,,,3841,3099,6756,1810,6508,1664,,240,19.6,33.2,9.23,1.393,0.48,0,3.281,0.724,0,0,19.597,15.811,34.469,9.235,33.204,1.224,8.49
all,3,Jaipur Pink Panthers,195,11,8,8,,4,,,3,4,6,5,8,5,6,,5,7,5,211,,98,,,710,182,,,3626,2917,6156,1961,6457,1776,,247,18.59,33.11,10.06,1.082,0.503,0,3.641,0.933,0,0,18.595,14.959,31.569,10.056,33.113,1.267,9.108
all,4,Bengal Warriors,195,6,11,4,,1,,,5,9,4,4,5,8,7,,7,12,8,246,,120,,,643,129,,,3793,2986,6565,1752,6354,1622,,228,19.45,32.58,8.98,1.262,0.615,0,3.297,0.662,0,0,19.451,15.313,33.667,8.985,32.585,1.169,8.318
all,5,U Mumba,197,10,9,6,,8,,,4,3,5,6,7,3,4,,4,2,3,234,,94,,,654,183,,,3672,2907,6270,2056,6516,1873,,249,18.64,33.08,10.44,1.188,0.477,0,3.32,0.929,0,0,18.64,14.756,31.827,10.437,33.076,1.264,9.508
all,6,Patna Pirates,204,1,1,7,,2,,,2,1,1,1,1,2,1,,1,3,2,228,,118,,,763,192,,,4094,3264,6775,2110,7131,1915,,299,20.07,34.96,10.34,1.118,0.578,0,3.74,0.941,0,0,20.069,16,33.211,10.343,34.956,1.466,9.387
all,7,Puneri Paltan,199,12,6,5,,6,,,1,5,8,7,6,1,3,,3,1,1,238,,95,,,805,175,,,3587,2903,6396,2166,6616,1987,,255,18.03,33.25,10.88,1.196,0.477,0,4.045,0.879,0,0,18.025,14.588,32.141,10.884,33.246,1.281,9.985
all,8,Telugu Titans,192,9,12,1,,5,,,8,2,7,8,2,6,8,,8,10,6,279,,96,,,620,190,,,3609,2877,6758,1863,6173,1669,,198,18.8,32.15,9.7,1.453,0.5,0,3.229,0.99,0,0,18.797,14.984,35.198,9.703,32.151,1.031,8.693
all,28,Haryana Steelers,137,2,3,11,,10,,,12,11,10,10,10,10,11,,11,4,9,176,,79,,,404,118,,,2731,2148,4772,1416,4682,1298,,158,19.93,34.18,10.34,1.285,0.577,0,2.949,0.861,0,0,19.934,15.679,34.832,10.336,34.175,1.153,9.474
all,29,Tamil Thalaivas,134,8,10,10,,12,,,9,10,12,12,11,12,12,,12,5,12,182,,43,,,470,121,,,2553,2073,4680,1375,4413,1253,,143,19.05,32.93,10.26,1.358,0.321,0,3.507,0.903,0,0,19.052,15.47,34.925,10.261,32.933,1.067,9.351
all,30,U.P. Yoddhas,140,3,2,9,,9,,,10,8,9,9,9,9,9,,10,6,11,183,,91,,,457,135,,,2771,2155,4876,1417,4806,1281,,176,19.79,34.33,10.12,1.307,0.65,0,3.264,0.964,0,0,19.793,15.393,34.829,10.121,34.329,1.257,9.15
all,31,Gujarat Giants,139,7,5,12,,11,,,11,12,11,11,12,11,10,,9,8,10,142,,73,,,449,95,,,2671,2129,4452,1388,4692,1293,,186,19.22,33.76,9.99,1.022,0.525,0,3.23,0.683,0,0,19.216,15.317,32.029,9.986,33.755,1.338,9.302
