season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total_touch_points_value,Total_bonus_points_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-raid-points_value,team-avg-points-scored_value,team-average-tackle-points_value,team-all-outs-conceded_per-match,team-super-raid_per-match,team-raid_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-all-outs-inflicted_per-match,team-successful-tackles_per-match
3,3,Jaipur Pink Panthers,14,8,7,6,,4,,,6,1,8,8,7,5,7,,8,5,6,7,,8,,,58,16,,,193,151,427,117,364,100,,3,13.79,26,8.36,0.5,0.571,0,4.143,1.143,0,0,13.786,10.786,30.5,8.357,26,0.214,7.143
3,4,Bengal Warriors,16,6,5,1,,7,,,4,4,5,2,4,4,4,,7,4,4,14,,4,,,68,13,,,250,218,450,150,460,137,,4,15.63,28.75,9.38,0.875,0.25,0,4.25,0.813,0,0,15.625,13.625,28.125,9.375,28.75,0.25,8.563
3,5,U Mumba,16,4,3,7,,5,,,5,8,3,3,8,3,3,,3,3,3,5,,7,,,59,6,,,253,210,398,169,502,163,,13,15.81,31.38,10.56,0.313,0.438,0,3.688,0.375,0,0,15.813,13.125,24.875,10.563,31.375,0.813,10.188
3,6,Patna Pirates,16,1,1,8,,1,,,2,7,1,1,2,2,1,,1,2,1,2,,16,,,71,7,,,324,244,468,182,594,175,,17,20.25,37.13,11.38,0.125,1,0,4.438,0.438,0,0,20.25,15.25,29.25,11.375,37.125,1.063,10.938
3,7,Puneri Paltan,16,5,2,3,,2,,,1,3,4,5,6,1,2,,2,1,2,8,,9,,,86,13,,,251,206,433,187,510,174,,13,15.69,31.88,11.69,0.5,0.563,0,5.375,0.813,0,0,15.688,12.875,27.063,11.688,31.875,0.813,10.875
3,8,Telugu Titans,14,2,4,4,,8,,,8,2,2,4,5,6,5,,5,6,5,8,,3,,,45,15,,,254,209,437,117,427,101,,5,18.14,30.5,8.36,0.571,0.214,0,3.214,1.071,0,0,18.143,14.929,31.214,8.357,30.5,0.357,7.214
4,1,Bengaluru Bulls,14,8,8,3,,8,,,6,4,8,8,7,7,8,,8,6,8,8,,4,,,61,15,,,201,158,415,124,360,109,,4,14.36,25.71,8.86,0.571,0.286,0,4.357,1.071,0,0,14.357,11.286,29.643,8.857,25.714,0.286,7.786
4,2,Dabang Delhi K.C.,14,6,4,2,,1,,,1,2,6,7,8,4,5,,7,3,6,10,,11,,,86,18,,,226,166,412,136,419,116,,5,16.14,29.93,9.71,0.714,0.786,0,6.143,1.286,0,0,16.143,11.857,29.429,9.714,29.929,0.357,8.286
4,3,Jaipur Pink Panthers,16,2,5,8,,5,,,2,3,2,4,4,5,4,,3,8,4,4,,6,,,78,16,,,270,208,451,136,475,119,,8,16.88,29.69,8.5,0.25,0.375,0,4.875,1,0,0,16.875,13,28.188,8.5,29.688,0.5,7.438
4,4,Bengal Warriors,14,7,7,5,,6,,,7,6,7,6,5,6,7,,4,5,5,7,,4,,,61,8,,,202,171,438,125,378,117,,7,14.43,27,8.93,0.5,0.286,0,4.357,0.571,0,0,14.429,12.214,31.286,8.929,27,0.5,8.357
4,5,U Mumba,14,5,6,1,,7,,,8,5,5,5,6,8,6,,6,7,7,11,,4,,,42,11,,,227,189,418,121,400,110,,6,16.21,28.57,8.64,0.786,0.286,0,3,0.786,0,0,16.214,13.5,29.857,8.643,28.571,0.429,7.857
4,6,Patna Pirates,16,4,3,6,,4,,,5,1,4,3,2,1,3,,5,1,2,6,,7,,,72,26,,,264,209,466,172,492,145,,7,16.5,30.75,10.75,0.375,0.438,0,4.5,1.625,0,0,16.5,13.063,29.125,10.75,30.75,0.438,9.063
4,7,Puneri Paltan,16,1,1,7,,2,,,3,7,1,1,1,3,1,,2,4,3,5,,10,,,76,6,,,290,238,491,147,515,140,,10,18.13,32.19,9.19,0.313,0.625,0,4.75,0.375,0,0,18.125,14.875,30.688,9.188,32.188,0.625,8.75
4,8,Telugu Titans,16,3,2,4,,3,,,4,8,3,2,3,2,2,,1,2,1,8,,7,,,76,5,,,267,210,454,162,506,157,,12,16.69,31.63,10.13,0.5,0.438,0,4.75,0.313,0,0,16.688,13.125,28.375,10.125,31.625,0.75,9.813
5,1,Bengaluru Bulls,22,7,8,9,3,11,12,3,6,7,9,6,11,7,9,6,4,7,6,25,38.54,5,943,34.99,93,16,294,99,393,330,679,202,689,185,8.41,28,17.86,31.32,9.18,1.136,0.227,42.864,4.227,0.727,13.364,4.5,17.864,15,30.864,9.182,31.318,1.273,8.409
5,2,Dabang Delhi K.C.,22,12,12,2,12,10,8,11,5,11,12,11,6,12,12,12,12,12,12,35,32.06,6,973,28.57,94,10,260,84,344,278,731,171,597,159,7.23,18,15.64,27.14,7.77,1.591,0.273,44.227,4.273,0.455,11.818,3.818,15.636,12.636,33.227,7.773,27.136,0.818,7.227
5,3,Jaipur Pink Panthers,22,10,11,7,8,3,11,10,11,12,11,12,8,11,11,11,9,11,11,27,35.29,13,962,28.9,83,9,297,56,353,278,722,172,631,162,7.36,22,16.05,28.68,7.82,1.227,0.591,43.727,3.773,0.409,13.5,2.545,16.045,12.636,32.818,7.818,28.682,1,7.364
5,4,Bengal Warriors,24,4,9,5,9,6,2,4,9,9,3,2,3,10,5,10,5,10,9,29,34.81,11,1079,34.29,87,12,333,122,455,370,757,193,748,181,7.54,27,18.96,31.17,8.04,1.208,0.458,44.958,3.625,0.5,13.875,5.083,18.958,15.417,31.542,8.042,31.167,1.125,7.542
5,5,U Mumba,22,3,4,1,11,8,10,7,12,2,4,9,4,6,7,8,10,6,10,36,32.65,10,963,32.71,78,26,298,121,419,315,757,202,707,176,8,21,19.05,32.14,9.18,1.636,0.455,43.773,3.545,1.182,13.545,5.5,19.045,14.318,34.409,9.182,32.136,0.955,8
5,6,Patna Pirates,26,1,1,6,6,1,1,1,4,1,1,1,1,3,1,4,1,4,3,29,36.16,26,1173,41.09,95,26,508,129,637,482,921,253,1050,226,8.69,55,24.5,40.38,9.73,1.115,1,45.115,3.654,1,19.538,4.962,24.5,18.538,35.423,9.731,40.385,2.115,8.692
5,7,Puneri Paltan,24,11,5,11,2,4,4,12,1,4,10,10,10,1,3,1,3,1,1,23,46.07,12,1042,28.21,119,19,321,58,379,294,683,273,766,252,10.5,32,15.79,31.92,11.38,0.958,0.5,43.417,4.958,0.792,13.375,2.417,15.792,12.25,28.458,11.375,31.917,1.333,10.5
5,8,Telugu Titans,22,6,6,8,5,9,9,6,8,8,8,7,9,5,8,5,7,5,5,26,37.6,10,971,33.88,89,16,301,99,400,329,698,208,696,191,8.68,25,18.18,31.64,9.45,1.182,0.455,44.136,4.045,0.727,13.682,4.5,18.182,14.955,31.727,9.455,31.636,1.136,8.682
5,28,Haryana Steelers,23,8,7,10,4,5,5,9,2,3,7,8,7,4,6,3,6,3,4,23,37.87,12,1030,31.17,105,21,324,80,404,321,726,227,727,206,8.96,27,17.57,31.61,9.87,1,0.522,44.783,4.565,0.913,14.087,3.478,17.565,13.957,31.565,9.87,31.609,1.174,8.957
5,29,Tamil Thalaivas,22,5,10,4,7,12,6,5,7,6,5,4,5,9,10,7,11,8,7,31,35.59,5,1015,34.09,91,17,309,101,409,346,752,201,681,184,8.36,19,18.59,30.95,9.14,1.409,0.227,46.136,4.136,0.773,14.045,4.591,18.591,15.727,34.182,9.136,30.955,0.864,8.364
5,30,U.P. Yoddhas,23,2,2,3,10,2,7,2,10,5,2,3,2,8,4,9,8,9,8,32,33.21,23,1002,35.53,83,18,347,114,461,356,762,202,762,183,7.96,23,20.04,33.13,8.78,1.391,1,43.565,3.609,0.783,15.087,4.957,20.043,15.478,33.13,8.783,33.13,1,7.957
5,31,Gujarat Giants,24,9,3,12,1,7,3,8,3,10,6,5,12,2,2,2,2,2,2,17,48.69,11,1055,31.47,98,12,346,59,404,332,641,254,775,242,10.08,36,16.83,32.29,10.58,0.708,0.458,43.958,4.083,0.5,14.417,2.458,16.833,13.833,26.708,10.583,32.292,1.5,10.083
6,1,Bengaluru Bulls,24,1,2,9,,1,,,7,12,1,1,7,5,1,,2,7,4,24,,19,,,73,11,428,119,547,431,766,230,887,219,,37,22.79,36.96,9.58,1,0.792,0,3.042,0.458,17.833,4.958,22.792,17.958,31.917,9.583,36.958,1.542,9.125
6,2,Dabang Delhi K.C.,24,4,5,6,,10,,,8,5,3,3,3,8,4,,4,9,7,28,,9,,,73,18,367,116,483,401,824,216,822,198,,34,20.13,34.25,9,1.167,0.375,0,3.042,0.75,15.292,4.833,20.125,16.708,34.333,9,34.25,1.417,8.25
6,3,Jaipur Pink Panthers,22,9,8,2,,4,,,5,4,10,10,5,6,9,,8,5,5,32,,13,,,75,23,313,102,415,334,780,225,711,202,,22,18.86,32.32,10.23,1.455,0.591,0,3.409,1.045,14.227,4.636,18.864,15.182,35.455,10.227,32.318,1,9.182
6,4,Bengal Warriors,23,8,9,10,,2,,,4,10,8,9,9,10,7,,7,11,9,23,,15,,,85,14,341,95,436,340,734,200,725,186,,23,18.96,31.52,8.7,1,0.652,0,3.696,0.609,14.826,4.13,18.957,14.783,31.913,8.696,31.522,1,8.087
6,5,U Mumba,23,5,1,12,,3,,,1,8,5,5,12,1,3,,1,1,1,16,,14,,,89,15,372,87,459,372,672,289,856,274,,41,19.96,37.22,12.57,0.696,0.609,0,3.87,0.652,16.174,3.783,19.957,16.174,29.217,12.565,37.217,1.783,11.913
6,6,Patna Pirates,22,2,3,3,,6,,,11,9,2,2,2,9,6,,5,8,10,30,,11,,,54,15,376,120,496,406,835,201,799,186,,30,22.55,36.32,9.14,1.364,0.5,0,2.455,0.682,17.091,5.455,22.545,18.455,37.955,9.136,36.318,1.364,8.455
6,7,Puneri Paltan,22,12,11,5,,12,,,9,2,12,12,11,7,11,,12,6,8,29,,6,,,72,30,235,111,346,286,694,219,649,189,,14,15.73,29.5,9.95,1.318,0.273,0,3.273,1.364,10.682,5.045,15.727,13,31.545,9.955,29.5,0.636,8.591
6,8,Telugu Titans,22,11,12,8,,9,,,3,1,11,11,10,4,12,,10,4,6,25,,9,,,85,31,246,107,353,289,702,233,647,202,,18,16.05,29.41,10.59,1.136,0.409,0,3.864,1.409,11.182,4.864,16.045,13.136,31.909,10.591,29.409,0.818,9.182
6,28,Haryana Steelers,22,3,6,1,,5,,,12,11,7,6,4,11,8,,11,10,11,33,,12,,,44,13,306,141,447,361,806,193,715,180,,16,20.32,32.5,8.77,1.5,0.545,0,2,0.591,13.909,6.409,20.318,16.409,36.636,8.773,32.5,0.727,8.182
6,29,Tamil Thalaivas,22,7,10,7,,11,,,10,7,9,8,8,12,10,,9,12,12,27,,7,,,67,15,315,105,419,345,741,189,671,173,,20,19.05,30.5,8.59,1.227,0.318,0,3.045,0.682,14.318,4.773,19.045,15.682,33.682,8.591,30.5,0.909,7.864
6,30,U.P. Yoddha,25,10,7,4,,7,,,2,3,6,7,1,3,5,,6,3,3,30,,10,,,86,25,318,131,449,357,847,265,812,240,,26,17.96,32.48,10.6,1.2,0.4,0,3.44,1,12.72,5.24,17.96,14.28,33.88,10.6,32.48,1.04,9.6
6,31,Gujarat Giants,25,6,4,11,,8,,,6,6,4,4,6,2,2,,3,2,2,20,,10,,,74,16,385,95,480,392,769,274,876,258,,36,19.2,35.04,10.96,0.8,0.4,0,2.96,0.64,15.4,3.8,19.2,15.68,30.76,10.96,35.04,1.44,10.32
7,1,Bengaluru Bulls,24,1,3,3,,4,,,11,4,1,3,1,5,3,,7,9,8,33,,13,,,54,26,402,131,533,412,855,232,868,206,,30,22.21,36.17,9.67,1.375,0.542,0,2.25,1.083,16.75,5.458,22.208,17.167,35.625,9.667,36.167,1.25,8.583
7,2,Dabang Delhi K.C.,24,2,1,9,,8,,,9,12,2,1,2,11,1,,2,11,5,26,,8,,,58,8,385,147,532,431,823,222,890,214,,40,22.17,37.08,9.25,1.083,0.333,0,2.417,0.333,16.042,6.125,22.167,17.958,34.292,9.25,37.083,1.667,8.917
7,3,Jaipur Pink Panthers,22,10,10,10,,5,,,1,1,10,12,11,3,10,,10,3,7,25,,11,,,80,31,278,107,385,295,713,240,700,209,,20,17.5,31.82,10.91,1.136,0.5,0,3.636,1.409,12.636,4.864,17.5,13.409,32.409,10.909,31.818,0.909,9.5
7,4,Bengal Warriors,24,3,2,12,,1,,,8,11,3,2,6,6,2,,1,10,3,23,,15,,,62,12,416,97,513,414,790,229,868,217,,41,21.38,36.17,9.54,0.958,0.625,0,2.583,0.5,17.333,4.042,21.375,17.25,32.917,9.542,36.167,1.708,9.042
7,5,U Mumba,24,8,9,7,,7,,,3,8,6,7,10,4,5,,5,8,4,27,,9,,,79,17,336,102,438,350,732,233,785,216,,33,18.25,32.71,9.71,1.125,0.375,0,3.292,0.708,14,4.25,18.25,14.583,30.5,9.708,32.708,1.375,9
7,6,Patna Pirates,22,5,4,8,,3,,,4,2,5,6,9,7,6,,3,4,11,26,,14,,,78,29,359,88,447,354,745,225,774,196,,34,20.32,35.18,10.23,1.182,0.636,0,3.545,1.318,16.318,4,20.318,16.091,33.864,10.227,35.182,1.545,8.909
7,7,Puneri Paltan,22,7,6,1,,9,,,6,3,8,8,3,1,8,,9,1,2,37,,8,,,64,29,307,102,409,329,816,264,744,235,,22,18.59,33.82,12,1.682,0.364,0,2.909,1.318,13.955,4.636,18.591,14.955,37.091,12,33.818,1,10.682
7,8,Telugu Titans,22,6,8,2,,6,,,12,5,7,5,5,10,9,,11,6,10,33,,11,,,49,24,307,129,436,355,792,224,725,200,,18,19.82,32.95,10.18,1.5,0.5,0,2.227,1.091,13.955,5.864,19.818,16.136,36,10.182,32.955,0.818,9.091
7,28,Haryana Steelers,23,4,5,6,,2,,,5,9,4,4,4,8,4,,4,7,6,28,,15,,,76,15,384,106,490,377,802,225,809,210,,33,21.3,35.17,9.78,1.217,0.652,0,3.304,0.652,16.696,4.609,21.304,16.391,34.87,9.783,35.174,1.435,9.13
7,29,Tamil Thalaivas,22,11,12,4,,12,,,10,10,11,10,8,12,12,,12,12,12,31,,4,,,58,15,291,87,378,308,761,192,642,177,,15,17.18,29.18,8.73,1.409,0.182,0,2.636,0.682,13.227,3.955,17.182,14,34.591,8.727,29.182,0.682,8.045
7,30,U.P. Yoddha,23,9,7,5,,11,,,2,6,9,9,7,2,7,,6,2,1,29,,6,,,80,19,312,96,408,328,764,260,770,241,,32,17.74,33.48,11.3,1.261,0.261,0,3.478,0.826,13.565,4.174,17.739,14.261,33.217,11.304,33.478,1.391,10.478
7,31,Gujarat Giants,22,12,11,11,,10,,,7,7,12,11,12,9,11,,8,5,9,25,,7,,,63,19,300,72,372,305,668,224,686,205,,25,16.91,31.18,10.18,1.136,0.318,0,2.864,0.864,13.636,3.273,16.909,13.864,30.364,10.182,31.182,1.136,9.318
8,1,Bengaluru Bulls,24,1,1,4,2,4,3,1,12,2,1,1,2,2,1,3,3,3,2,30,41.37,12,992,43.65,38,26,377,158,535,433,835,261,903,235,9.79,34,22.29,37.63,10.88,1.25,0.5,41.333,1.583,1.083,15.708,6.583,22.292,18.042,34.792,10.875,37.625,1.417,9.792
8,2,Dabang Delhi K.C.,24,4,8,5,9,7,4,3,10,11,3,2,4,11,5,11,10,11,10,28,35.26,10,977,42.37,55,11,353,152,505,414,801,200,804,189,7.88,25,21.04,33.5,8.33,1.167,0.417,40.708,2.292,0.458,14.708,6.333,21.042,17.25,33.375,8.333,33.5,1.042,7.875
8,3,Jaipur Pink Panthers,22,5,5,9,11,9,10,2,3,12,6,4,12,8,6,5,7,8,7,26,34.79,9,894,42.62,85,10,329,122,451,381,742,209,756,199,9.05,26,20.5,34.36,9.5,1.182,0.409,40.636,3.864,0.455,14.955,5.545,20.5,17.318,33.727,9.5,34.364,1.182,9.045
8,4,Bengal Warriors,22,2,6,10,12,2,11,4,6,10,4,7,7,12,7,12,5,12,12,25,34.02,17,892,39.57,73,12,336,141,477,353,772,178,754,166,7.55,27,21.68,34.27,8.09,1.136,0.773,40.545,3.318,0.545,15.273,6.409,21.682,16.045,35.091,8.091,34.273,1.227,7.545
8,5,U Mumba,22,11,11,7,7,10,12,7,11,3,11,10,10,7,12,8,9,7,8,28,37.16,9,876,38.7,53,22,323,99,422,339,750,216,716,194,8.82,25,19.18,32.55,9.82,1.273,0.409,39.818,2.409,1,14.682,4.5,19.182,15.409,34.091,9.818,32.545,1.136,8.818
