,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles
Attacking Skill,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha
Running Hand Touch,44,47,76,71,44,56,51,43,43,67,31,56
Hand Touch,31,33,40,41,27,36,34,29,35,35,32,31
Toe Touch,13,14,16,17,10,9,8,17,19,18,8,16
Side Kick,9,9,10,5,18,9,14,11,4,10,15,16
Defender self out (lobby s..),20,7,12,12,7,10,6,10,9,15,10,11
Reverse Kick,7,6,2,10,5,5,6,6,3,3,6,6
Running Kick,6,4,5,2,2,5,6,2,1,2,2,4
Leg Thrust,3,1,,,1,2,3,,3,2,1,2
