Bengal Warriors,,,,Bengaluru Bulls,,,,Dabang Delhi,,,,Gujarat Fortunegiants,,,,Harayana Steelers,,,,Jaipur Pink Panthers,,,,Patna Pirates,,,,Puneri Paltan,,,,Tamil Thalaivas,,,,Telugu Titans,,,,U Mumba,,,,UP Yoddha,
Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles,,,Attacking Skill,Unsuccessful Tackles
Running Hand Touch,44,,,Running Hand Touch,47,,,Running Hand Touch,76,,,Running Hand Touch,71,,,Running Hand Touch,44,,,Running Hand Touch,56,,,Running Hand Touch,51,,,Running Hand Touch,43,,,Running Hand Touch,43,,,Running Hand Touch,67,,,Hand Touch,32,,,Running Hand Touch,56
Hand Touch,31,,,Hand Touch,33,,,Hand Touch,40,,,Hand Touch,41,,,Hand Touch,27,,,Hand Touch,36,,,Hand Touch,34,,,Hand Touch,29,,,Hand Touch,35,,,Hand Touch,35,,,Running Hand Touch,31,,,Hand Touch,31
Defender self out (lobby s..,20,,,Toe Touch,14,,,Toe Touch,16,,,Toe Touch,17,,,Side Kick,18,,,Defender self out (lobby s..,10,,,Side Kick,14,,,Toe Touch,17,,,Toe Touch,19,,,Toe Touch,18,,,Side Kick,15,,,Toe Touch,16
Toe Touch,13,,,Side Kick,9,,,Defender self out (lobby s..,12,,,Defender self out (lobby s..,12,,,Toe Touch,10,,,Toe Touch,9,,,Toe Touch,8,,,Side Kick,11,,,Defender self out (lobby s..,9,,,Defender self out (lobby s..,15,,,Defender self out (lobby s..,10,,,Side Kick,16
Side Kick,9,,,Defender self out (lobby s..,7,,,Side Kick,10,,,Reverse Kick,10,,,Defender self out (lobby s..,7,,,Side Kick,9,,,Running Kick,6,,,Defender self out (lobby s..,10,,,Side Kick,4,,,Side Kick,10,,,Toe Touch,8,,,Defender self out (lobby s..,11
Reverse Kick,7,,,Reverse Kick,6,,,Running Kick,5,,,Side Kick,5,,,Reverse Kick,5,,,Running Kick,5,,,Reverse Kick,6,,,Reverse Kick,6,,,Reverse Kick,3,,,Reverse Kick,3,,,Reverse Kick,6,,,Reverse Kick,6
Running Kick,6,,,Running Kick,4,,,Reverse Kick,2,,,Running Kick,2,,,Running Kick,2,,,Reverse Kick,5,,,Defender self out (lobby s..,6,,,Running Kick,2,,,Leg Thrust,3,,,Running Kick,2,,,Running Kick,2,,,Running Kick,4
Leg Thrust,3,,,Leg Thrust,1,,,,,,,Leg Thrust,2,,,Leg Thrust,1,,,Leg Thrust,2,,,Leg Thrust,3,,,Counter Action Skill,Unsuccessful Tackles,,,Running Kick,1,,,Leg Thrust,2,,,Leg Thrust,1,,,Leg Thrust,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Release,82,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles,,,Counter Action Skill,Unsuccessful Tackles
Release,65,,,Release,96,,,Release,70,,,Release,46,,,Release,64,,,Release,66,,,Release,84,,,Struggle,45,,,Release,72,,,Release,67,,,Release,72,,,Release,79
Struggle,33,,,Struggle,38,,,Struggle,51,,,Struggle,39,,,Struggle,41,,,Struggle,64,,,Struggle,38,,,Out Turn,16,,,Out Turn,32,,,Struggle,32,,,Struggle,45,,,Struggle,46
Jump,28,,,Out Turn,17,,,Out Turn,22,,,Jump,19,,,Out Turn,24,,,Out Turn,15,,,Out Turn,16,,,Create Gap,13,,,Struggle,29,,,Out Turn,19,,,Jump,16,,,Jump,18
Out Turn,16,,,Jump,16,,,Jump,9,,,Out Turn,16,,,Jump,15,,,Jump,15,,,Jump,12,,,Jump,12,,,Jump,17,,,Jump,14,,,Out Turn,12,,,Out Turn,12
Create Gap,10,,,Create Gap,5,,,Create Gap,7,,,Create Gap,6,,,In Turn,4,,,Create Gap,11,,,Create Gap,5,,,In Turn,5,,,Create Gap,16,,,Dubki,10,,,Create Gap,7,,,Create Gap,7
In Turn,3,,,In Turn,4,,,In Turn,6,,,In Turn,4,,,Dubki,4,,,Dubki,2,,,In Turn,2,,,Dubki,2,,,Dubki,5,,,Create Gap,5,,,In Turn,6,,,In Turn,5
Dubki,3,,,Dubki,2,,,Dubki,0,,,Dubki,4,,,Create Gap,2,,,In Turn,1,,,Dubki,1,,,Chain,0,,,In Turn,3,,,In Turn,2,,,Dubki,5,,,Dubki,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Chain,0,,,Chain,1,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles
Thigh Hold,52,,,Thigh Hold,63,,,Thigh Hold,51,,,Thigh Hold,41,,,Thigh Hold,43,,,Dive,50,,,Ankle Hold,58,,,Ankle Hold,75,,,Defensive Skill,Successful Tackles,,,Defensive Skill,Successful Tackles,,,Thigh Hold,66,,,Thigh Hold,56
Dive,39,,,Ankle Hold,57,,,Block,50,,,Block,38,,,Ankle Hold,43,,,Block,36,,,Thigh Hold,56,,,Push,43,,,Block,43,,,Ankle Hold,45,,,Ankle Hold,36,,,Ankle Hold,53
Push,19,,,Dive,46,,,Push,28,,,Dive,37,,,Block,42,,,Ankle Hold,36,,,Block,48,,,Block,36,,,Thigh Hold,38,,,Thigh Hold,42,,,Dive,30,,,Dive,43
