team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
U Mumba,PKL-S8,Abhishek Singh,363,149,41%
U Mumba,PKL-S8,V. Ajith Kumar,291,130,45%
U Mumba,PKL-S8,Shivam,57,26,46%
U Mumba,PKL-S8,Ajinkya Kapre,46,12,26%
U Mumba,PKL-S8,Mohsen Maghsoudlou,44,10,23%
U Mumba,PKL-S8,Rahul Rana,20,5,25%
U Mumba,PKL-S8,Jashandeep Singh,12,2,17%
U Mumba,PKL-S8,Fazel Atrachali,12,0,0%
U Mumba,PKL-S8,Ashish Kumar,11,2,18%
U Mumba,PKL-S8,Prathap S,8,2,25%
U Mumba,PKL-S8,Kamlesh,7,1,14%
U Mumba,PKL-S8,Rinku Hc,2,0,0%
U Mumba,PKL-S8,Sunil Siddhgavali,1,0,0%
U Mumba,PKL-S8,Harendra Kumar,1,0,0%
U Mumba,PKL-S8,Ajeet,1,0,0%
Jaipur Pink Panthers,PKL-S8,Arjun Deshwal,421,226,54%
Jaipur Pink Panthers,PKL-S8,Deepak Hooda,281,105,37%
Jaipur Pink Panthers,PKL-S8,Nitin Rawal,47,4,9%
Jaipur Pink Panthers,PKL-S8,Naveen,45,9,20%
Jaipur Pink Panthers,PKL-S8,Sachin Narwal,30,13,43%
Jaipur Pink Panthers,PKL-S8,Brijendra Singh Chaudhary,29,13,45%
Jaipur Pink Panthers,PKL-S8,Amit Nagar,18,5,28%
Jaipur Pink Panthers,PKL-S8,Ashok,6,2,33%
Jaipur Pink Panthers,PKL-S8,Amirhossein Maleki,5,4,80%
Jaipur Pink Panthers,PKL-S8,Amin Nosrati,5,0,0%
Jaipur Pink Panthers,PKL-S8,Vishal Lather,2,0,0%
Jaipur Pink Panthers,PKL-S8,Sushil Gulia,2,0,0%
Jaipur Pink Panthers,PKL-S8,Shaul Kumar,2,0,0%
Jaipur Pink Panthers,PKL-S8,Deepak Rajendar Singh,1,0,0%
UP Yoddhas,PKL-S8,Surender Gill,355,143,40%
UP Yoddhas,PKL-S8,Pardeep Narwal,349,144,41%
UP Yoddhas,PKL-S8,Shrikant Jadhav,190,73,38%
UP Yoddhas,PKL-S8,Rohit Tomar,36,16,44%
UP Yoddhas,PKL-S8,Ankit,23,5,22%
UP Yoddhas,PKL-S8,Ashu Singh,22,2,9%
UP Yoddhas,PKL-S8,Mohammad Taghi,18,5,28%
UP Yoddhas,PKL-S8,Sahil,8,3,38%
UP Yoddhas,PKL-S8,Aman Hooda,6,0,0%
UP Yoddhas,PKL-S8,Ankush,3,0,0%
UP Yoddhas,PKL-S8,Sumit,2,0,0%
UP Yoddhas,PKL-S8,Shubham Kumar,1,0,0%
UP Yoddhas,PKL-S8,Nitesh Kumar,1,0,0%
Dabang Delhi,PKL-S8,Naveen Kumar,338,186,55%
Dabang Delhi,PKL-S8,Vijay Jaglan,285,121,42%
Dabang Delhi,PKL-S8,Ashu Malik,138,41,30%
Dabang Delhi,PKL-S8,Neeraj Narwal,97,33,34%
Dabang Delhi,PKL-S8,Sandeep Narwal,68,18,26%
Dabang Delhi,PKL-S8,Manjeet,17,6,35%
Dabang Delhi,PKL-S8,Ajay Thakur,13,3,23%
Dabang Delhi,PKL-S8,Manjeet Chhillar,5,1,20%
Dabang Delhi,PKL-S8,Sushant Sail,4,1,25%
Dabang Delhi,PKL-S8,Nitin Panwar,4,2,50%
Dabang Delhi,PKL-S8,Balram,4,0,0%
Dabang Delhi,PKL-S8,Joginder Narwal,1,0,0%
Puneri Paltan,PKL-S8,Asalam Inamdar,355,140,39%
Puneri Paltan,PKL-S8,Mohit Goyat,305,139,46%
Puneri Paltan,PKL-S8,Nitin Tomar,103,37,36%
Puneri Paltan,PKL-S8,Pankaj Mohite,64,17,27%
Puneri Paltan,PKL-S8,Rahul Chaudhari,35,10,29%
Puneri Paltan,PKL-S8,Vishwas S,26,10,38%
Puneri Paltan,PKL-S8,Shubham Shelke,15,2,13%
