season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-05,Bengal Warriors,Anil Kumar,7,1,100%,,,100.00%
PKL-05,Bengal Warriors,Bhupender Singh,3,4,5%,75.00%,25.00%,
PKL-05,Bengal Warriors,Bhupender Singh,4,8,10%,87.50%,,12.50%
PKL-05,Bengal Warriors,Bhupender Singh,5,22,27%,63.60%,13.60%,22.70%
PKL-05,Bengal Warriors,Bhupender Singh,6,12,14%,50.00%,41.70%,8.30%
PKL-05,Bengal Warriors,Bhupender Singh,7,37,45%,48.60%,18.90%,32.40%
PKL-05,Bengal Warriors,Deepak Narwal,1,1,1%,,100.00%,
PKL-05,Bengal Warriors,Deepak Narwal,2,4,2%,,75.00%,25.00%
PKL-05,Bengal Warriors,Deepak Narwal,3,11,6%,36.40%,45.50%,18.20%
PKL-05,Bengal Warriors,Deepak Narwal,4,19,10%,31.60%,36.80%,31.60%
PKL-05,Bengal Warriors,Deepak Narwal,5,42,22%,57.10%,14.30%,28.60%
PKL-05,Bengal Warriors,Deepak Narwal,6,39,21%,30.80%,41.00%,28.20%
PKL-05,Bengal Warriors,Deepak Narwal,7,71,38%,36.60%,49.30%,14.10%
PKL-05,Bengal Warriors,Jang Kun Lee,1,1,0%,,100.00%,
PKL-05,Bengal Warriors,Jang Kun Lee,2,9,4%,22.20%,66.70%,11.10%
PKL-05,Bengal Warriors,Jang Kun Lee,3,7,3%,28.60%,28.60%,42.90%
PKL-05,Bengal Warriors,Jang Kun Lee,4,14,7%,50.00%,35.70%,14.30%
PKL-05,Bengal Warriors,Jang Kun Lee,5,32,15%,50.00%,18.80%,31.30%
PKL-05,Bengal Warriors,Jang Kun Lee,6,44,21%,43.20%,45.50%,11.40%
PKL-05,Bengal Warriors,Jang Kun Lee,7,105,50%,37.10%,40.00%,22.90%
PKL-05,Bengal Warriors,Kuldeep,4,1,33%,100.00%,,
PKL-05,Bengal Warriors,Kuldeep,5,2,67%,,,100.00%
PKL-05,Bengal Warriors,Maninder Singh,1,4,1%,,100.00%,
PKL-05,Bengal Warriors,Maninder Singh,2,26,7%,7.70%,80.80%,11.50%
PKL-05,Bengal Warriors,Maninder Singh,3,20,5%,40.00%,45.00%,15.00%
PKL-05,Bengal Warriors,Maninder Singh,4,29,8%,55.20%,34.50%,10.30%
PKL-05,Bengal Warriors,Maninder Singh,5,51,14%,60.80%,15.70%,23.50%
PKL-05,Bengal Warriors,Maninder Singh,6,89,24%,31.50%,43.80%,24.70%
PKL-05,Bengal Warriors,Maninder Singh,7,148,40%,37.80%,46.60%,15.50%
PKL-05,Bengal Warriors,Rahul Kumar,3,1,100%,100.00%,,
PKL-05,Bengal Warriors,Ran Singh,1,1,4%,,100.00%,
PKL-05,Bengal Warriors,Ran Singh,2,1,4%,,100.00%,
PKL-05,Bengal Warriors,Ran Singh,4,2,7%,100.00%,,
PKL-05,Bengal Warriors,Ran Singh,5,1,4%,100.00%,,
PKL-05,Bengal Warriors,Ran Singh,6,5,19%,40.00%,40.00%,20.00%
PKL-05,Bengal Warriors,Ran Singh,7,17,63%,41.20%,35.30%,23.50%
PKL-05,Bengal Warriors,Ravindra Ramesh Kumawat,3,1,14%,,,100.00%
PKL-05,Bengal Warriors,Ravindra Ramesh Kumawat,4,1,14%,,,100.00%
PKL-05,Bengal Warriors,Ravindra Ramesh Kumawat,5,3,43%,66.70%,33.30%,
PKL-05,Bengal Warriors,Ravindra Ramesh Kumawat,7,2,29%,,50.00%,50.00%
PKL-05,Bengal Warriors,Shrikant Tewthia,6,2,40%,50.00%,,50.00%
PKL-05,Bengal Warriors,Shrikant Tewthia,7,3,60%,,66.70%,33.30%
PKL-05,Bengal Warriors,Surjeet Singh,3,1,2%,100.00%,,
PKL-05,Bengal Warriors,Surjeet Singh,4,3,6%,100.00%,,
PKL-05,Bengal Warriors,Surjeet Singh,5,10,19%,100.00%,,
PKL-05,Bengal Warriors,Surjeet Singh,6,13,25%,92.30%,7.70%,
PKL-05,Bengal Warriors,Surjeet Singh,7,25,48%,88.00%,8.00%,4.00%
PKL-05,Bengal Warriors,Vinod Kumar,3,6,5%,100.00%,,
PKL-05,Bengal Warriors,Vinod Kumar,4,16,13%,25.00%,37.50%,37.50%
PKL-05,Bengal Warriors,Vinod Kumar,5,48,39%,56.30%,25.00%,18.80%
PKL-05,Bengal Warriors,Vinod Kumar,6,24,20%,58.30%,12.50%,29.20%
PKL-05,Bengal Warriors,Vinod Kumar,7,29,24%,44.80%,24.10%,31.00%
PKL-05,Bengal Warriors,Virender,4,1,9%,,,100.00%
PKL-05,Bengal Warriors,Virender,5,4,36%,25.00%,25.00%,50.00%
PKL-05,Bengal Warriors,Virender,6,2,18%,50.00%,50.00%,
PKL-05,Bengal Warriors,Virender,7,4,36%,,25.00%,75.00%
PKL-05,Dabang Delhi,Abolfazl Maghsodlou,2,6,3%,33.30%,50.00%,16.70%
PKL-05,Dabang Delhi,Abolfazl Maghsodlou,3,11,5%,54.50%,36.40%,9.10%
PKL-05,Dabang Delhi,Abolfazl Maghsodlou,4,21,9%,52.40%,19.00%,28.60%
PKL-05,Dabang Delhi,Abolfazl Maghsodlou,5,46,20%,56.50%,26.10%,17.40%
PKL-05,Dabang Delhi,Abolfazl Maghsodlou,6,56,24%,41.10%,37.50%,21.40%
PKL-05,Dabang Delhi,Abolfazl Maghsodlou,7,90,39%,38.90%,40.00%,21.10%
PKL-05,Dabang Delhi,Anand Patil,3,4,4%,25.00%,,75.00%
PKL-05,Dabang Delhi,Anand Patil,4,13,13%,53.80%,,46.20%
PKL-05,Dabang Delhi,Anand Patil,5,22,22%,54.50%,18.20%,27.30%
PKL-05,Dabang Delhi,Anand Patil,6,20,20%,45.00%,30.00%,25.00%
PKL-05,Dabang Delhi,Anand Patil,7,43,42%,39.50%,34.90%,25.60%
PKL-05,Dabang Delhi,Meraj Sheykh,1,2,1%,,100.00%,
PKL-05,Dabang Delhi,Meraj Sheykh,2,17,6%,11.80%,52.90%,35.30%
PKL-05,Dabang Delhi,Meraj Sheykh,3,23,8%,39.10%,43.50%,17.40%
PKL-05,Dabang Delhi,Meraj Sheykh,4,32,11%,43.80%,34.40%,21.90%
PKL-05,Dabang Delhi,Meraj Sheykh,5,46,16%,60.90%,23.90%,15.20%
PKL-05,Dabang Delhi,Meraj Sheykh,6,59,20%,55.90%,27.10%,16.90%
PKL-05,Dabang Delhi,Meraj Sheykh,7,113,39%,67.30%,17.70%,15.00%
PKL-05,Dabang Delhi,Nilesh Shinde,5,3,21%,100.00%,,
PKL-05,Dabang Delhi,Nilesh Shinde,6,3,21%,33.30%,33.30%,33.30%
