,Match_No,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
56,56,"Pro Kabaddi League Season 3, 2016",W,3,3/4/2016 8:00,Patna Pirates beat Puneri Paltan (40-21),3/4/2016 8:00,Completed,19,10,kabaddi,,178,Semi Final,Semi-Final 1,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Patna Pirates,40,TRUE,Puneri Paltan,21,FALSE,Patna Pirates,Pardeep Narwal,197,10,,Rohit Kumar,326,7,,Sandeep Narwal,142,5,,Vinod Kumar,215,4,,Sunil,207,3,,Deepak Niwas Hooda,41,6,,Manjeet Chhillar,69,5,,Jasmer Singh Gulia,51,2,,Ajay Thakur,26,2,,Surjeet Singh,322,2,,,FALSE,FALSE
57,57,"Pro Kabaddi League Season 3, 2016",W,3,3/4/2016 9:00,U Mumba beat Bengal Warriors (41-29),3/4/2016 9:00,Completed,12,10,kabaddi,,179,Semi Final,Semi-Final 2,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,41,TRUE,Bengal Warriors,29,FALSE,U Mumba,Rishank Devadiga,94,13,,Mohit Chhillar,71,6,,Anup Kumar,29,6,,Fazel Atrachali,259,3,,Rakesh Kumar,88,3,Raider,Nitin Tomar,320,8,,Vineet Sharma,268,6,,Umesh Mhatre,272,6,Raider,Mahendra Ganesh Rajput,163,3,,Bajirao Hodage,164,2,,,FALSE,FALSE
58,58,"Pro Kabaddi League Season 3, 2016",W,3,3/5/2016 8:00,Puneri Paltan beat Bengal Warriors (31-27),3/5/2016 8:00,Completed,4,10,kabaddi,,180,Super Playoffs,3/4 Place,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengal Warriors,27,FALSE,Puneri Paltan,31,TRUE,Puneri Paltan,Jang Kun Lee,12,9,,Mahendra Ganesh Rajput,163,5,,Bajirao Hodage,164,4,,Nilesh Shinde,73,3,Defender,Shyam Kumar Sah,108,3,Defender,Deepak Niwas Hooda,41,9,,Manjeet Chhillar,69,6,,Ajay Thakur,26,4,,Surjeet Singh,322,2,,Jasmer Singh Gulia,51,1,,,FALSE,FALSE
59,59,"Pro Kabaddi League Season 3, 2016",W,3,3/5/2016 9:00,Patna Pirates beat U Mumba (31-28),3/5/2016 9:00,Completed,3,10,kabaddi,,181,Final,Final,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,28,FALSE,Patna Pirates,31,TRUE,Patna Pirates,Anup Kumar,29,8,,Mohit Chhillar,71,6,,Shabeer Bappu,105,3,,Surender Nada,146,2,Defender,Rakesh Kumar,88,2,Raider,Rohit Kumar,326,8,,Sandeep Narwal,142,7,,Rajesh Mondal,85,3,,Vinod Kumar,215,3,,Sunil,207,2,,,FALSE,FALSE
0,0,"Pro Kabaddi League Season 2, 2015",W,2,7/18/2015 8:00,U Mumba beat Jaipur Pink Panthers (29-28),7/18/2015 8:00,Completed,1,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",62,League,Match 1,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,U Mumba,29,TRUE,Jaipur Pink Panthers,28,FALSE,U Mumba,Jeeva Kumar,54,9,,Anup Kumar,29,4,,Mohit Chhillar,71,3,,Shabeer Bappu,105,3,,Vishal Mane,123,3,,Jasvir Singh,52,7,,Kuldeep Singh,252,6,,Rajesh Narwal,86,3,,Samarjeet Singh,159,2,Defender,Rohit Rana,96,2,,,FALSE,FALSE
1,1,"Pro Kabaddi League Season 2, 2015",W,2,7/18/2015 9:00,Bengaluru Bulls beat Bengal Warriors (33-25),7/18/2015 9:00,Completed,8,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",63,League,Match 2,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengaluru Bulls,33,TRUE,Bengal Warriors,25,FALSE,Bengaluru Bulls,Ajay Thakur,26,11,,Rajesh Mondal,85,3,,Somvir Shekhar,109,3,Defender,Joginder Singh Narwal,194,3,,Dharmaraj Cheralathan,42,2,,Dinesh Kumar,182,6,Defender,Nilesh Shinde,73,4,Defender,Sachin Khambe,98,2,Defender,Bajirao Hodage,164,2,,Jang Kun Lee,12,2,,,FALSE,FALSE
2,2,"Pro Kabaddi League Season 2, 2015",W,2,7/19/2015 8:00,Telugu Titans beat Dabang Delhi (36-27),7/19/2015 8:00,Completed,9,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",64,League,Match 3,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Telugu Titans,36,TRUE,Dabang Delhi,27,FALSE,Telugu Titans,Meraj Sheykh,251,10,,Deepak Niwas Hooda,41,8,,Rahul Chaudhari,81,5,,Sandeep Kandola,248,4,Defender,Rajaguru Subramanian,84,2,,Kashiling Adake,58,8,,Ravinder Pahal,157,7,,Rohit Kumar Choudary,217,7,,Shrikant Tewthia,107,1,,Inderpal Bishnoi,224,1,Defender,,FALSE,FALSE
3,3,"Pro Kabaddi League Season 2, 2015",W,2,7/19/2015 9:00,U Mumba beat Bengaluru Bulls (36-23),7/19/2015 9:00,Completed,13,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",65,League,Match 4,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,U Mumba,36,TRUE,Bengaluru Bulls,23,FALSE,U Mumba,Shabeer Bappu,105,10,,Anup Kumar,29,9,,Mohit Chhillar,71,4,,Rishank Devadiga,94,3,,Surender Nada,146,3,Defender,Ajay Thakur,26,5,,Dharmaraj Cheralathan,42,4,,Manjeet Chhillar,69,4,,Rajesh Mondal,85,4,,Joginder Singh Narwal,194,2,,,FALSE,FALSE
4,4,"Pro Kabaddi League Season 2, 2015",W,2,7/20/2015 8:00,Telugu Titans beat Puneri Paltan (45-24),7/20/2015 8:00,Completed,21,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",66,League,Match 5,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Puneri Paltan,24,FALSE,Telugu Titans,45,TRUE,Telugu Titans,Wazir Singh,124,7,,Yogesh Hooda,245,7,,Mahipal Narwal,67,4,Defender,Vijender Singh,235,2,Defender,Harvinder Singh,246,1,Defender,Rahul Chaudhari,81,12,,Deepak Niwas Hooda,41,7,,Sandeep Kandola,248,5,Defender,Prashanth Kumar Rai,155,5,,Meraj Sheykh,251,3,,,FALSE,FALSE
5,5,"Pro Kabaddi League Season 2, 2015",W,2,7/20/2015 9:00,U Mumba beat Patna Pirates (25-20),7/20/2015 9:00,Completed,5,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",67,League,Match 6,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,U Mumba,25,TRUE,Patna Pirates,20,FALSE,U Mumba,Anup Kumar,29,7,,Shabeer Bappu,105,5,,Rishank Devadiga,94,4,,Jeeva Kumar,54,2,,Mohit Chhillar,71,2,,Sandeep Narwal,142,8,,Ravi Dalal,92,4,Raider,Gurvinder Singh,46,2,,Deepak Narwal,211,2,,Amit Hooda,212,2,,,FALSE,FALSE
6,6,"Pro Kabaddi League Season 2, 2015",W,2,7/21/2015 8:00,U Mumba beat Puneri Paltan (28-21),7/21/2015 8:00,Completed,7,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",68,League,Match 7,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,U Mumba,28,TRUE,Puneri Paltan,21,FALSE,U Mumba,Rishank Devadiga,94,8,,Shabeer Bappu,105,8,,Mohit Chhillar,71,5,,Anup Kumar,29,3,,Surender Nada,146,1,Defender,Wazir Singh,124,7,,Mahipal Narwal,67,4,Defender,Pravin Niwale,79,3,Raider,Manoj Kumar,70,1,Defender,Vijender Singh,235,1,Defender,,FALSE,FALSE
7,7,"Pro Kabaddi League Season 2, 2015",W,2,7/22/2015 8:00,Bengal Warriors beat Jaipur Pink Panthers (28-26),7/22/2015 8:00,Completed,2,4,kabaddi,Netaji Indoor Stadium,69,League,Match 8,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengal Warriors,28,TRUE,Jaipur Pink Panthers,26,FALSE,Bengal Warriors,Nilesh Shinde,73,7,Defender,Sachin Khambe,98,3,Defender,Mahesh Goud,66,3,,Jang Kun Lee,12,3,,Dinesh Kumar,182,3,Defender,Jasvir Singh,52,9,,Rajesh Narwal,86,4,,Gangadhari Mallesh,44,3,,Rohit Rana,96,2,,Ran Singh,160,2,,,FALSE,FALSE
8,8,"Pro Kabaddi League Season 2, 2015",W,2,7/22/2015 9:00,Bengaluru Bulls beat Patna Pirates (31-26),7/22/2015 9:00,Completed,5,4,kabaddi,Netaji Indoor Stadium,70,League,Match 9,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengaluru Bulls,31,TRUE,Patna Pirates,26,FALSE,Bengaluru Bulls,Manjeet Chhillar,69,11,,Rajesh Mondal,85,4,,Joginder Singh Narwal,194,4,,Pardeep Narwal,197,4,,Dharmaraj Cheralathan,42,1,,Rakesh Kumar,88,6,Raider,Sandeep Narwal,142,6,,Deepak Narwal,211,4,,Varinder Singh,208,2,Defender,Gurvinder Singh,46,2,,,FALSE,FALSE
9,9,"Pro Kabaddi League Season 2, 2015",W,2,7/23/2015 8:00,Telugu Titans beat Bengal Warriors (32-30),7/23/2015 8:00,Completed,2,4,kabaddi,Netaji Indoor Stadium,71,League,Match 10,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengal Warriors,30,FALSE,Telugu Titans,32,TRUE,Telugu Titans,Jang Kun Lee,12,12,,Sunil Jaipal,141,6,Raider,Bajirao Hodage,164,3,,Sachin Khambe,98,2,Defender,Dinesh Kumar,182,2,Defender,Deepak Niwas Hooda,41,14,,Prashanth Kumar Rai,155,7,,Rahul Chaudhari,81,4,,Sachin Shingade,165,2,,Sandeep Kandola,248,2,Defender,,FALSE,FALSE
10,10,"Pro Kabaddi League Season 2, 2015",W,2,7/24/2015 8:00,Dabang Delhi beat Puneri Paltan (38-37),7/24/2015 8:00,Completed,1,4,kabaddi,Netaji Indoor Stadium,72,League,Match 11,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Dabang Delhi,38,TRUE,Puneri Paltan,37,FALSE,Dabang Delhi,Kashiling Adake,58,12,,Rohit Kumar Choudary,217,11,,Ravinder Pahal,157,3,,Amit Singh Chhillar,28,3,Defender,Jasmer Singh Gulia,51,1,,Wazir Singh,124,13,,Pravin Niwale,79,8,Raider,Mahipal Narwal,67,3,Defender,Vijender Singh,235,3,Defender,Harvinder Singh,246,2,Defender,,FALSE,FALSE
11,11,"Pro Kabaddi League Season 2, 2015",W,2,7/24/2015 9:00,U Mumba beat Bengal Warriors (29-25),7/24/2015 9:00,Completed,4,4,kabaddi,Netaji Indoor Stadium,73,League,Match 12,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengal Warriors,25,FALSE,U Mumba,29,TRUE,U Mumba,Sachin Khambe,98,7,Defender,Mahendra Ganesh Rajput,163,6,,Nilesh Shinde,73,4,Defender,Bajirao Hodage,164,3,,Parveen M. Jangra,178,1,Defender,Anup Kumar,29,9,,Jeeva Kumar,54,8,,Mohit Chhillar,71,3,,Rishank Devadiga,94,2,,Shabeer Bappu,105,1,,,FALSE,FALSE
12,12,"Pro Kabaddi League Season 2, 2015",W,2,7/25/2015 8:00,Bengaluru Bulls beat Puneri Paltan (31-26),7/25/2015 8:00,Completed,5,4,kabaddi,Netaji Indoor Stadium,74,League,Match 13,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengaluru Bulls,31,TRUE,Puneri Paltan,26,FALSE,Bengaluru Bulls,Ashish Chhokar,195,7,,Manjeet Chhillar,69,5,,Rajesh Mondal,85,4,,Rakesh Narwal,204,4,,Dharmaraj Cheralathan,42,3,,Manoj Kumar,70,7,Defender,Wazir Singh,124,6,,Amit Om Prakash Rathi,231,4,Raider,Tushar Patil,242,2,,Sagar Khatale,169,2,Defender,,FALSE,FALSE
13,13,"Pro Kabaddi League Season 2, 2015",W,2,7/25/2015 9:00,Dabang Delhi beat Bengal Warriors (32-21),7/25/2015 9:00,Completed,11,4,kabaddi,Netaji Indoor Stadium,75,League,Match 14,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Bengal Warriors,21,FALSE,Dabang Delhi,32,TRUE,Dabang Delhi,Jang Kun Lee,12,5,,Seong Ryeol Kim,13,4,All Rounder,Dinesh Kumar,182,3,Defender,Deepak Dhull,181,2,Defender,Mahendra Ganesh Rajput,163,1,,Ravinder Pahal,157,7,,Rohit Kumar Choudary,217,6,,Kashiling Adake,58,6,,Amit Singh Chhillar,28,3,Defender,G.S. Manikandan,222,2,Defender,,FALSE,FALSE
14,14,"Pro Kabaddi League Season 2, 2015",W,2,7/26/2015 8:00,Patna Pirates beat Jaipur Pink Panthers (29-23),7/26/2015 8:00,Completed,6,3,kabaddi,Sawai Mansingh Stadium,76,League,Match 15,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Jaipur Pink Panthers,23,FALSE,Patna Pirates,29,TRUE,Patna Pirates,Jasvir Singh,52,7,,Rajesh Narwal,86,6,,Kuldeep Singh,252,5,,Prashant Chavan,147,2,All Rounder,Sonu Narwal,190,1,Raider,Rakesh Kumar,88,8,Raider,Sandeep Narwal,142,7,,Deepak Narwal,211,6,,Sunil,207,2,,D. Suresh Kumar,162,1,Defender,,FALSE,FALSE
15,15,"Pro Kabaddi League Season 2, 2015",W,2,7/26/2015 9:00,U Mumba beat Telugu Titans (27-26),7/26/2015 9:00,Completed,1,3,kabaddi,Sawai Mansingh Stadium,77,League,Match 16,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Telugu Titans,26,FALSE,U Mumba,27,TRUE,U Mumba,Sukesh Hegde,111,7,,Deepak Niwas Hooda,41,6,,Sandeep Kandola,248,4,Defender,D. Gopu,152,3,,Prashanth Kumar Rai,155,3,,Anup Kumar,29,10,,Rishank Devadiga,94,7,,Mohit Chhillar,71,3,,Surender Nada,146,3,Defender,Shabeer Bappu,105,1,,,FALSE,FALSE
16,16,"Pro Kabaddi League Season 2, 2015",W,2,7/27/2015 8:00,Bengaluru Bulls beat Dabang Delhi (33-18),7/27/2015 8:00,Completed,15,3,kabaddi,Sawai Mansingh Stadium,78,League,Match 17,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Dabang Delhi,18,FALSE,Bengaluru Bulls,33,TRUE,Bengaluru Bulls,Rohit Kumar Choudary,217,6,,Ravinder Pahal,157,4,,Kashiling Adake,58,3,,Amit Kumar Tomar,267,2,Defender,G.S. Manikandan,222,1,Defender,Manjeet Chhillar,69,9,,Somvir Shekhar,109,6,Defender,Dharmaraj Cheralathan,42,4,,Ajay Thakur,26,4,,Joginder Singh Narwal,194,3,,,FALSE,FALSE
17,17,"Pro Kabaddi League Season 2, 2015",W,2,7/27/2015 9:00,Telugu Titans beat Jaipur Pink Panthers (33-22),7/27/2015 9:00,Completed,11,3,kabaddi,Sawai Mansingh Stadium,79,League,Match 18,pkl,"Pro Kabaddi League Season 2, 2015",2,+05:30,Jaipur Pink Panthers,22,FALSE,Telugu Titans,33,TRUE,Telugu Titans,Rajesh Narwal,86,9,,Kuldeep Singh,252,5,,Jasvir Singh,52,3,,Rohit Rana,96,2,,Ran Singh,160,1,,Rahul Chaudhari,81,11,,Sukesh Hegde,111,7,,Deepak Niwas Hooda,41,6,,T. Prasad,236,3,All Rounder,Sandeep Kandola,248,1,Defender,,FALSE,FALSE
