Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Pawan Sehrawat,461,267,58%
Rohit Kumar,248,75,30%
Sumit Singh,142,46,32%
Banty,70,17,24%
Mohit Sehrawat,46,4,9%
Ankit,14,1,7%
Ashish Kumar,12,0,0%
Mahender Singh,9,0,0%
Vijay Kumar,4,0,0%
Ajay,4,1,25%
Saurabh Nandal,1,1,100%
Amit Sheoran,1,0,0%
