,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles
Counter Action Skill,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Haryana Steeler,Jaipur Pink Panther,Patna Pirate,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Release,80,92,102,79,100,97,81,71,81,95,83,81
Struggle,26,30,27,39,20,16,26,19,13,15,21,21
Out Turn,26,22,16,19,28,25,41,24,20,17,22,24
Jump,12,8,15,9,14,4,12,9,16,8,6,8
Dubki,8,2,1,10,5,0,1,3,5,3,5,2
In Turn,5,12,6,5,4,6,6,5,8,4,3,8
Create Gap,2,2,4,2,6,3,5,2,5,3,0,1
Chain,,,,,,,0,,,,,
