Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajinkya Ashok,3,9,13%,44.40%,11.10%,44.40%
Pawar,4,9,13%,33.30%,22.20%,44.40%
,5,19,28%,26.30%,31.60%,42.10%
,6,14,21%,42.90%,21.40%,35.70%
,7,17,25%,47.10%,29.40%,23.50%
Amit Hooda,5,1,17%,100.00%,,
,7,5,83%,60.00%,,40.00%
Deepak Hooda,1,6,2%,,100.00%,
,2,7,2%,42.90%,57.10%,
,3,24,8%,58.30%,20.80%,20.80%
,4,38,13%,60.50%,10.50%,28.90%
,5,45,15%,53.30%,35.60%,11.10%
,6,73,24%,31.50%,53.40%,15.10%
,7,111,37%,39.60%,36.90%,23.40%
Deepak Narwal,1,1,1%,,100.00%,
,2,4,2%,,100.00%,
,3,17,9%,41.20%,23.50%,35.30%
,4,13,7%,38.50%,15.40%,46.20%
,5,42,23%,54.80%,16.70%,28.60%
,6,35,19%,28.60%,37.10%,34.30%
,7,70,38%,32.90%,44.30%,22.90%
Guman Singh,4,2,20%,100.00%,,
,5,1,10%,,100.00%,
,6,4,40%,75.00%,,25.00%
,7,3,30%,33.30%,66.70%,
Lokesh Kaushik,5,5,63%,20.00%,20.00%,60.00%
,6,1,13%,,,100.00%
,7,2,25%,,100.00%,
Milinda Chathura..,5,1,100%,,,100.00%
Nilesh Salunke,1,2,1%,,100.00%,
,2,1,1%,100.00%,,
,3,6,4%,100.00%,,
,4,10,6%,90.00%,,10.00%
,5,33,21%,72.70%,12.10%,15.20%
,6,45,29%,31.10%,40.00%,28.90%
,7,57,37%,26.30%,49.10%,24.60%
Nitin Rawal,2,2,2%,50.00%,50.00%,
,3,9,9%,55.60%,22.20%,22.20%
,4,16,16%,43.80%,12.50%,43.80%
,5,13,13%,69.20%,15.40%,15.40%
,6,18,18%,38.90%,22.20%,38.90%
,7,40,41%,55.00%,30.00%,15.00%
Sachin Narwal,2,1,3%,100.00%,,
,3,1,3%,100.00%,,
,4,6,17%,16.70%,33.30%,50.00%
,5,15,42%,60.00%,6.70%,33.30%
Sachin Narwal,6,4,11%,50.00%,50.00%,
,7,9,25%,44.40%,33.30%,22.20%
Sandeep Dhull,7,3,100%,66.70%,,33.30%
Sunil Siddhgavali,7,2,100%,100.00%,,
Sushil Gulia,2,1,2%,,100.00%,
,4,10,21%,40.00%,20.00%,40.00%
,5,11,23%,63.60%,18.20%,18.20%
,6,10,21%,40.00%,20.00%,40.00%
,7,15,32%,40.00%,33.30%,26.70%
Vishal,5,1,100%,100.00%,,
