Counter Action Skill,Successful Raids,,
Release,87,,
Out Turn,21,,
Struggle,19,,
Jump,4,,
Create Gap,4,,
Dubki,3,,
In Turn,1,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Deepak Hooda,304,115,38%
Deepak Narwal,182,62,34%
Nilesh Salunke,154,52,34%
Nitin Rawal,98,23,23%
Ajinkya Ashok Pawar,68,17,25%
Sushil Gulia,47,12,26%
Sachin Narwal,36,8,22%
Guman Singh,10,3,30%
Lokesh Kaushik,8,3,38%
Amit Hooda,6,0,0%
Sandeep Dhull,3,0,0%
Sunil Siddhgavali,2,0,0%
Vishal,1,0,0%
Milinda Chathuranga,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,53,,
Hand Touch,35,,
Defender self out,6,,
Toe Touch,10,,
Reverse Kick,3,,
Side Kick,2,,
Defender self out (lobby shirt pull),1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Dive,56,,
Thigh Hold,54,,
Block,46,,
Push,19,,
Ankle Hold,18,,
Self-out,14,,
Body Hold,10,,
Chain_def,6,,
Raider self out,1,,
