Counter Action Skill,Successful Raids,,
Release,96,,
Out Turn,20,,
Struggle,19,,
Jump,13,,
Dubki,12,,
In Turn,5,,
Create Gap,2,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Pardeep Narwal,453,243,54%
Jang Kun Lee,138,49,36%
Mohammad Esmaeil Mag..,129,31,24%
Monu,66,9,14%
Vikas Jaglan,58,7,12%
Hadi Oshtorak,42,5,12%
Ashish,16,3,19%
Purna Singh,15,4,27%
Amit Kumar,8,3,38%
Neeraj Kumar,4,0,0%
Naveen,3,0,0%
Jawahar Dagar,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,53,,
Hand Touch,31,,
Toe Touch,29,,
Defender self out,10,,
Reverse Kick,10,,
Running Kick,5,,
Defender self out (lobby shirt pull),1,,
Side Kick,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Thigh Hold,47,,
Block,44,,
Dive,40,,
Ankle Hold,29,,
Push,16,,
Self-out,13,,
Chain_def,10,,
Body Hold,9,,
