Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,121,,
Out Turn,,29,,,
Struggle,,25,,,
Jump,,18,,,
Dubki,,10,,,
In Turn,4,,,,
Create Gap,4,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Pawan Sehrawat,461,267,58%,,
Rohit Kumar,248,75,30%,0.000,1.0
Sumit Singh,142,46,32%,,
Banty,70,17,24%,,
Mohit Sehrawat,46,4,9%,,
Ankit,14,1,7%,,
Ashish Kumar,12,0,0%,,
Mahender Singh,9,0,0%,,
Vijay Kumar,4,0,0%,,
Ajay,4,1,25%,,
Saurabh Nandal,1,1,100%,,
Amit Sheoran,1,0,0%,,
Attacking Skill,Successful Raids,,,,
Running Hand Touch,,68,,,
Hand Touch,30,,,,
Side Kick,10,,,,
Defender self out,10,,,,
Toe Touch,10,,,,
Reverse Kick,8,,,,
Defender self out (lobby shirt pull),6,,,,
Running Kick,3,,,,
Defensive Skill,,Unsuccessful Raids,,,
Block,,,63,,
Thigh Hold,,,62,,
Dive,,48,,,
Ankle Hold,,30,,,
Push,,27,,,
Body Hold,,19,,,
Self-out,,14,,,
Chain_def,3,,,,
