team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Tamil Thailaivas,PKL-S6,Sukesh Hegde,176,50,28%
Tamil Thailaivas,PKL-S6,Jasvir Singh,117,34,29%
Tamil Thailaivas,PKL-S6,Athul MS,105,46,44%
Tamil Thailaivas,PKL-S6,Surjeet Singh,45,10,22%
Tamil Thailaivas,PKL-S6,Manjeet Chhillar,29,5,17%
Tamil Thailaivas,PKL-S6,D. Pradap,17,5,29%
Tamil Thailaivas,PKL-S6,Anand,17,7,41%
Tamil Thailaivas,PKL-S6,Vimal Raj V,10,2,20%
Tamil Thailaivas,PKL-S6,Victor Obiero,7,4,57%
Tamil Thailaivas,PKL-S6,K. Jayaseelan,3,0,0%
Tamil Thailaivas,PKL-S6,C. Arun,3,0,0%
Tamil Thailaivas,PKL-S6,Anil Kumar,3,0,0%
Tamil Thailaivas,PKL-S6,Sunil,2,0,0%
Tamil Thailaivas,PKL-S6,Amit Hooda,2,0,0%
Tamil Thailaivas,PKL-S6,Darshan J.,1,0,0%
Dabang Delhi,PKL-S6,Chandran Ranjit,316,133,42%
Dabang Delhi,PKL-S6,Naveen Kumar,307,147,48%
Dabang Delhi,PKL-S6,Meraj Sheykh,213,72,34%
Dabang Delhi,PKL-S6,Pawan Kumar,90,36,40%
Dabang Delhi,PKL-S6,Shabeer Bappu,26,6,23%
Dabang Delhi,PKL-S6,Rajesh Narwal,20,5,25%
Dabang Delhi,PKL-S6,Yogesh Hooda,13,1,8%
Dabang Delhi,PKL-S6,Vishal,6,1,17%
Dabang Delhi,PKL-S6,Aman Kadian,3,0,0%
Dabang Delhi,PKL-S6,Satpal,2,0,0%
Dabang Delhi,PKL-S6,Sumit Kumar,1,0,0%
Puneri Paltan,PKL-S6,Nitin Tomar,192,90,47%
Puneri Paltan,PKL-S6,More G B,173,60,35%
Puneri Paltan,PKL-S6,Monu,123,39,32%
Puneri Paltan,PKL-S6,Akshay Jadhav,108,26,24%
Puneri Paltan,PKL-S6,Deepak Kumar Dahiya,88,26,30%
Puneri Paltan,PKL-S6,Sandeep Narwal,86,17,20%
Puneri Paltan,PKL-S6,Rajesh Mondal,75,13,17%
Puneri Paltan,PKL-S6,Parvesh,30,5,17%
Puneri Paltan,PKL-S6,Amit Kumar,29,5,17%
Puneri Paltan,PKL-S6,Shubham Shinde,11,0,0%
Puneri Paltan,PKL-S6,Sandeep,9,4,44%
Puneri Paltan,PKL-S6,Girish Maruti Ernak,8,0,0%
Puneri Paltan,PKL-S6,Rinku Narwal,7,1,14%
Puneri Paltan,PKL-S6,Ravi Kumar,1,0,0%
Telugu Titans,PKL-S6,Rahul Chaudhari,350,139,40%
Telugu Titans,PKL-S6,Nilesh Salunke,201,61,30%
Telugu Titans,PKL-S6,Mohsen Maghsoudlou,111,26,23%
Telugu Titans,PKL-S6,Farhad Milaghardan,61,17,28%
Telugu Titans,PKL-S6,Vishal Bhardwaj,40,0,0%
Telugu Titans,PKL-S6,Rakshith,39,12,31%
Telugu Titans,PKL-S6,Kamal Singh,35,7,20%
Telugu Titans,PKL-S6,Rajnish,26,8,31%
Telugu Titans,PKL-S6,Abozar Mighani,26,0,0%
Telugu Titans,PKL-S6,Armaan,23,10,43%
Telugu Titans,PKL-S6,C Manoj Kumar,21,7,33%
Telugu Titans,PKL-S6,Anil Kumar,9,0,0%
Telugu Titans,PKL-S6,Anuj Kumar,5,1,20%
Telugu Titans,PKL-S6,Krushna Madane,3,1,33%
Telugu Titans,PKL-S6,Ankit Beniwal,3,0,0%
Jaipur Pink Panthers,PKL-S6,Deepak Hooda,367,164,45%
Jaipur Pink Panthers,PKL-S6,Ajinkya Ashok Pawar,163,59,36%
Jaipur Pink Panthers,PKL-S6,Anup Kumar,127,30,24%
Jaipur Pink Panthers,PKL-S6,Selvamani K,82,27,33%
Jaipur Pink Panthers,PKL-S6,Nitin Rawal,57,20,35%
Jaipur Pink Panthers,PKL-S6,Anand Patil,52,9,17%
Jaipur Pink Panthers,PKL-S6,Amit Kumar,35,10,29%
Jaipur Pink Panthers,PKL-S6,Ajit Singh,19,7,37%
Jaipur Pink Panthers,PKL-S6,Sunil Siddhgavali,15,4,27%
Jaipur Pink Panthers,PKL-S6,Lokesh Kaushik,11,2,18%
Jaipur Pink Panthers,PKL-S6,Gangadhari Mallesh,9,1,11%
Jaipur Pink Panthers,PKL-S6,David Mosambayi,6,1,17%
Jaipur Pink Panthers,PKL-S6,Mohit Chhillar,4,0,0%
Jaipur Pink Panthers,PKL-S6,Santhapanaselvam,1,0,0%
Jaipur Pink Panthers,PKL-S6,Sandeep Dhull,1,0,0%
