,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,win_by_coin_toss,extra_time,golden_raid,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type
0,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-07 19:30+05:30,Dabang Delhi K.C. won by 14 Pts,2022-10-07 19:30+05:30,Match Completed,14,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2892,League,Match 1,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Dabang Delhi K.C.,41,true,U Mumba,27,false,Dabang Delhi K.C.,Ravi Kumar,240,2,Defender - Right Cover,Sandeep Dhull,290,4,Defender - Left Corner,Vishal ,3159,4,Defender - Left Cover,Naveen Kumar,2296,13,Raider,Ashu Malik,4947,7,Raider,Rahul Sethpal,4186,0,Defender - Right Corner,,False,False,,,,,,,,,,,,,,,,
1,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-07 20:30+05:30,Bengaluru Bulls won by 5 Pts,2022-10-07 20:30+05:30,Match Completed,5,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2893,League,Match 2,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Bengaluru Bulls,34,true,Telugu Titans,29,false,Bengaluru Bulls,Vikash Khandola,366,5,Raider,Narender Hooda,629,1,All Rounder,Saurabh Nandal,3228,4,Defender - Left Corner,Bharat ,4944,5,Raider,Aman ,4972,1,Defender - Left Corner,Ravinder Pahal,157,1,Defender - Right Corner,,False,False,Surjeet Singh,322,1,Defender - Right Cover,Vishal Bhardwaj,3083,2,Defender,Parvesh Bhainswal,357,3,Defender - Left Cover,Rajnish ,2290,7,Raider
2,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-07 21:30+05:30,U.P. Yoddhas won by 2 Pts,2022-10-07 21:30+05:30,Match Completed,2,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2894,League,Match 3,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Jaipur Pink Panthers,32,false,U.P. Yoddhas,34,true,U.P. Yoddhas,Sunil Kumar,368,2,Defender,Arjun Deshwal,2024,8,Raider,Ankush ,3574,3,Defender - Left Corner,Sahul Kumar,4769,0,Defender - Right Corner,Abhishek KS,5113,4,Defender - Left Cover,Pardeep Narwal,197,7,Raider,,False,False,Nitesh Kumar,3088,2,Defender,Sumit ,3240,2,Defender - Left Corner,Ashu Singh,3239,4,Defender - Right Cover,Surender Gill,3241,9,Raider
3,"Pro Kabaddi League Season 9, 2022",T,25,2022-10-08 19:30+05:30,Match Tied,2022-10-08 19:30+05:30,Match Completed,,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2895,League,Match 4,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Patna Pirates,34,false,Puneri Paltan,34,false,Tie,Sachin ,757,8,Raider,Rohit Gulia,3023,6,All-Rounder,Neeraj Kumar,3107,2,Defender - Right Cover,Sunil ,3106,3,Defender - Right Corner,Sajin C,3343,2,All-Rounder,Aditya Shinde,5116,0,Raider,,False,False,Badal Singh,5108,3,Defender - Left Corner,Alankar Patil,5052,2,Defender - Right Corner,,,,,,,,
4,"Pro Kabaddi League Season 9, 2022",T,25,2022-10-08 20:30+05:30,Match Tied,2022-10-08 20:30+05:30,Match Completed,,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2896,League,Match 5,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Gujarat Giants,31,false,Tamil Thalaivas,31,false,Tie,Rohit Kumar,326,0,Raider,Rinku Narwal,3084,1,Defender,Baldev Singh,621,0,Defender - Right Corner,Arkam Shaikh,2297,2,All-Rounder,Sourav Gulia,3593,2,Defender,Himanshu ,3161,5,Defender - Left Corner,,False,False,,,,,,,,,,,,,,,,
5,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-08 21:30+05:30,Haryana Steelers won by 8 Pts,2022-10-08 21:30+05:30,Match Completed,8,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2897,League,Match 6,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Bengal Warriors,33,false,Haryana Steelers,41,true,Haryana Steelers,Maninder Singh,143,7,Raider,Girish Maruti Ernak,161,6,Defender - Left Corner,Shrikant Jadhav,106,3,Raider,Ashish Kumar,202,1,All-Rounder,Manoj Gowda,3151,8,All-Rounder,Joginder Narwal,194,0,Defender - Left Corner,,False,False,Manjeet ,763,19,Raider,Meetu ,4183,1,Raider,Monu ,5101,2,Defender - Right Corner,,,,
6,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-09 19:30+05:30,Jaipur Pink Panthers won by 5 Pts,2022-10-09 19:30+05:30,Match Completed,5,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2898,League,Match 7,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Jaipur Pink Panthers,35,true,Patna Pirates,30,false,Jaipur Pink Panthers,Bhavani Rajput,660,1,Raider,,,,,,,,,,,,,,,,,Sachin ,757,10,Raider,,False,False,Rohit Gulia,3023,11,All-Rounder,Neeraj Kumar,3107,1,Defender - Right Cover,Sunil ,3106,2,Defender - Right Corner,Sajin C,3343,1,All-Rounder
7,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-09 20:30+05:30,Bengal Warriors won by 20 Pts,2022-10-09 20:30+05:30,Match Completed,20,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2899,League,Match 8,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Telugu Titans,25,false,Bengal Warriors,45,true,Bengal Warriors,Surjeet Singh,322,0,Defender - Right Cover,Parvesh Bhainswal,357,0,Defender - Left Cover,Siddharth Desai,2026,2,Raider,,,,,,,,,Maninder Singh,143,11,Raider,,False,False,Girish Maruti Ernak,161,3,Defender - Left Corner,Deepak Hooda,41,11,All-Rounder,Shrikant Jadhav,106,7,Raider,Shubham Shinde,3103,2,Defender - Right Corner
8,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-09 21:30+05:30,Bengaluru Bulls won by 2 Pts,2022-10-09 21:30+05:30,Match Completed,2,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2900,League,Match 9,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Puneri Paltan,39,false,Bengaluru Bulls,41,true,Bengaluru Bulls,Sanket Sawant,3234,2,Defender - Left Cover,Akash Shinde,4959,2,Raider,Aslam Inamdar,4960,12,Raider,Badal Singh,5108,2,Defender - Left Corner,Rakesh Ram,5053,0,Defender - Right Cover,Vikash Khandola,366,11,Raider,,False,False,Mahender Singh,769,2,Defender - Left Cover,Neeraj Narwal,3038,3,Raider,Saurabh Nandal,3228,3,Defender - Left Corner,Bharat ,4944,12,Raider
9,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-10 19:30+05:30,U Mumba won by 7 Pts,2022-10-10 19:30+05:30,Match Completed,7,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2901,League,Match 10,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,U Mumba,30,true,U.P. Yoddhas,23,false,U Mumba,Guman Singh,3032,5,Raider,Harendra Kumar,3138,2,Defender - Left Cover,Rinku ,3964,3,Defender - Right Corner,,,,,,,,,Pardeep Narwal,197,5,Raider,,False,False,Nitesh Kumar,3088,2,Defender,Sumit ,3240,4,Defender - Left Corner,Ashu Singh,3239,4,Defender - Right Cover,Surender Gill,3241,4,Raider
