,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,win_by_coin_toss,extra_time,golden_raid,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type
10,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-10 20:30+05:30,Dabang Delhi K.C. won by 20 Pts,2022-10-10 20:30+05:30,Match Completed,20,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2902,League,Match 11,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Dabang Delhi K.C.,53,true,Gujarat Giants,33,false,Dabang Delhi K.C.,Ravi Kumar,240,2,Defender - Right Cover,Vishal ,3159,3,Defender - Left Cover,Naveen Kumar,2296,15,Raider,Manjeet ,3965,10,Raider,Ashu Malik,4947,5,Raider,Mahendra Rajput,163,7,Raider,,False,False,Rinku Narwal,3084,0,Defender,Baldev Singh,621,0,Defender - Right Corner,Sandeep Kandola,248,0,Defender,Parteek Dhaiya,5124,5,All-Rounder
11,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-11 19:30+05:30,Haryana Steelers won by 5 Pts,2022-10-11 19:30+05:30,Match Completed,5,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2903,League,Match 12,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Haryana Steelers,27,true,Tamil Thalaivas,22,false,Haryana Steelers,Manjeet ,763,8,Raider,Nitin Rawal,3065,3,All-Rounder,Vinay ,3054,0,Raider,Meetu ,4183,4,Raider,Mohit ,4954,2,Defender - Right Cover,Sahil Singh,4965,3,Defender - Left Corner,,False,False,Visvanath V.,5046,4,All-Rounder,Sachin ,5130,0,Raider ,,,,,,,,
12,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-11 20:30+05:30,Telugu Titans won by 9 Pts,2022-10-11 20:30+05:30,Match Completed,9,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2904,League,Match 13,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Patna Pirates,21,false,Telugu Titans,30,true,Telugu Titans,Rohit Gulia,3023,5,All-Rounder,Neeraj Kumar,3107,0,Defender - Right Cover,Sunil ,3106,4,Defender - Right Corner,Abdul Insamam,4798,3,All-Rounder,Mohammadreza Chiyaneh,4925,2,All-Rounder,Surjeet Singh,322,4,Defender - Right Cover,,False,False,Vishal Bhardwaj,3083,1,Defender,Vijay Kumar,768,1,Defender - Right Corner,Siddharth Desai,2026,7,Raider,Vinay ,5095,2,Raider
13,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-12 19:30+05:30,Bengal Warriors won by 9 Pts,2022-10-12 19:30+05:30,Match Completed,9,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2905,League,Match 14,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Bengaluru Bulls,33,false,Bengal Warriors,42,true,Bengal Warriors,Vikash Khandola,366,7,Raider,Sachin Narwal,3154,1,All-Rounder,Saurabh Nandal,3228,3,Defender - Left Corner,Bharat ,4944,8,Raider,,,,,Maninder Singh,143,11,Raider,,False,False,Girish Maruti Ernak,161,5,Defender - Left Corner,Shrikant Jadhav,106,6,Raider,Vaibhav Garje,5114,4,Defender - Right Cover,,,,
14,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-12 20:30+05:30,Dabang Delhi K.C. won by 2 Pts,2022-10-12 20:30+05:30,Match Completed,2,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2906,League,Match 15,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,U.P. Yoddhas,42,false,Dabang Delhi K.C.,44,true,Dabang Delhi K.C.,Nitesh Kumar,3088,3,Defender,Gurdeep ,2041,0,All-Rounder,Ashu Singh,3239,4,Defender - Right Cover,Shubham Kumar,4228,0,Defender - Left Cover,,,,,Ravi Kumar,240,1,Defender - Right Cover,,False,False,Vishal ,3159,4,Defender - Left Cover,Naveen Kumar,2296,13,Raider,Manjeet ,3965,12,Raider,Ashu Malik,4947,2,Raider
15,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-14 19:30+05:30,U Mumba won by 7 Pts,2022-10-14 19:30+05:30,Match Completed,7,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2907,League,Match 16,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Tamil Thalaivas,32,false,U Mumba,39,true,U Mumba,M. Abishek ,3014,2,Defender - Right Cover,Sagar ,3236,4,Defender - Right Corner,Himanshu ,3970,3,Raider,Mohit ,4964,1,Defender - Left Cover,Sahil Singh,4965,1,Defender - Left Corner,Surinder Singh,3086,2,Defender,,False,False,Guman Singh,3032,12,Raider,Harendra Kumar,3138,0,Defender - Left Cover,Rinku ,3964,3,Defender - Right Corner,Kiran Laxman,5037,0,Defender - Left Corner
16,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-14 20:30+05:30,Jaipur Pink Panthers won by 13 Pts,2022-10-14 20:30+05:30,Match Completed,13,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2908,League,Match 17,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Haryana Steelers,31,false,Jaipur Pink Panthers,44,true,Jaipur Pink Panthers,K.Prapanjan ,219,1,Raider,Nitin Rawal,3065,0,All-Rounder,Vinay ,3054,2,Raider,Sushil ,4179,1,Raider,Meetu ,4183,16,Raider,Sunil Kumar,368,8,Defender,,False,False,,,,,,,,,,,,,,,,
17,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-14 21:30+05:30,Gujarat Giants won by 10 Pts,2022-10-14 21:30+05:30,Match Completed,10,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2909,League,Match 18,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Gujarat Giants,47,true,Puneri Paltan,37,false,Gujarat Giants,Arkam Shaikh,2297,3,All-Rounder,Sourav Gulia,3593,5,Defender,Sandeep Kandola,248,1,Defender,Rakesh ,3966,15,Raider,Parteek Dhaiya,5124,2,All-Rounder,Fazel Atrachali,259,2,Defender,,False,False,Sanket Sawant,3234,0,Defender - Left Cover,Mohit Goyat,4022,6,Raider,Aslam Inamdar,4960,19,Raider,Gaurav Khatri,5128,3,Defender - Right Corner
18,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-15 19:30+05:30,Jaipur Pink Panthers won by 7 Pts,2022-10-15 19:30+05:30,Match Completed,7,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2910,League,Match 19,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Jaipur Pink Panthers,25,true,Gujarat Giants,18,false,Jaipur Pink Panthers,Sunil Kumar,368,2,Defender,Bhavani Rajput,660,5,Raider,Arjun Deshwal,2024,4,Raider,Ankush ,3574,3,Defender - Left Corner,Sahul Kumar,4769,2,Defender - Right Corner,Shankar Gadai,5039,3,All-Rounder,,False,False,,,,,,,,,,,,,,,,
19,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-15 20:30+05:30,Dabang Delhi K.C. won by 20 Pts,2022-10-15 20:30+05:30,Match Completed,20,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2911,League,Match 20,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Telugu Titans,26,false,Dabang Delhi K.C.,46,true,Dabang Delhi K.C.,Ankit ,3227,1,Defender,Mohit Pahal,5109,0,Defender - Left Corner,Mohit ,5110,0,Defender - Left Cover,Nitin ,5111,0,Defender - Right Cover,Vinay ,5095,10,Raider,Ravi Kumar,240,4,Defender - Right Cover,,False,False,Naveen Kumar,2296,12,Raider,Tejas Patil,4106,1,All-Rounder,Krishan ,4949,2,Defender,Ashish Narwal,5100,3,Raider
20,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-15 21:30+05:30,Bengal Warriors won by 28 Pts,2022-10-15 21:30+05:30,Match Completed,28,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2912,League,Match 21,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Bengal Warriors,54,true,Patna Pirates,26,false,Bengal Warriors,Maninder Singh,143,12,Raider,Girish Maruti Ernak,161,3,Defender - Left Corner,Shubham Shinde,3103,4,Defender - Right Corner,Sakthivel R,4195,1,Defender - Right Corner,Manoj Gowda,3151,3,All-Rounder,Sachin ,757,12,Raider,,False,False,Neeraj Kumar,3107,0,Defender - Right Cover,Mohammadreza Chiyaneh,4925,4,All-Rounder,Manish ,4957,0,Defender,Ranjit Naik,5091,0,Raider
21,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-16 19:30+05:30,Puneri Paltan won by 2 Pts,2022-10-16 19:30+05:30,Match Completed,2,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2913,League,Match 22,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Puneri Paltan,30,true,U Mumba,28,false,Puneri Paltan,Fazel Atrachali,259,4,Defender,Sombir ,3000,2,Defender,Mohit Goyat,4022,5,Raider,,,,,,,,,Surinder Singh,3086,0,Defender,,False,False,Guman Singh,3032,7,Raider,Rinku ,3964,3,Defender - Right Corner,Rahul Sethpal,4186,1,Defender - Right Corner,Jai Bhagwan,5002,5,Raider
22,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-16 20:30+05:30,U.P. Yoddhas won by 7 Pts,2022-10-16 20:30+05:30,Match Completed,7,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2914,League,Match 23,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,U.P. Yoddhas,44,true,Bengaluru Bulls,37,false,U.P. Yoddhas,Nitesh Kumar,3088,3,Defender,Ashu Singh,3239,1,Defender - Right Cover,,,,,,,,,,,,,Rajesh Narwal,86,0,All Rounder,,False,False,Vikash Khandola,366,12,Raider,Mahender Singh,769,2,Defender - Left Cover,Sachin Narwal,3154,2,All-Rounder,Saurabh Nandal,3228,2,Defender - Left Corner
23,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-17 19:30+05:30,Tamil Thalaivas won by 1 Pts,2022-10-17 19:30+05:30,Match Completed,1,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2915,League,Match 24,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Tamil Thalaivas,33,true,Patna Pirates,32,false,Tamil Thalaivas,M. Abishek ,3014,0,Defender - Right Cover,Sagar ,3236,2,Defender - Right Corner,Aashish ,4962,1,Defender - Left Cover,Himanshu Singh,4963,11,Raider,Sahil Singh,4965,3,Defender - Left Corner,Sachin ,757,6,Raider,,False,False,Rohit Gulia,3023,11,All-Rounder,Neeraj Kumar,3107,0,Defender - Right Cover,Monu ,3082,2,Raider,Sunil ,3106,4,Defender - Right Corner
24,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-17 20:30+05:30,Dabang Delhi K.C. won by 2 Pts,2022-10-17 20:30+05:30,Match Completed,2,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2916,League,Match 25,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Dabang Delhi K.C.,38,true,Haryana Steelers,36,false,Dabang Delhi K.C.,Ravi Kumar,240,2,Defender - Right Cover,Naveen Kumar,2296,15,Raider,Ashu Malik,4947,4,Raider,Krishan ,4949,2,Defender,Vijay ,5096,4,Defender - Left Corner,Joginder Narwal,194,1,Defender - Left Corner,,False,False,Nitin Rawal,3065,2,All-Rounder,Meetu ,4183,6,Raider,Jaideep ,4184,3,Defender - Left Cover,Mohit ,4954,3,Defender - Right Cover
25,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-18 19:30+05:30,Jaipur Pink Panthers won by 15 Pts,2022-10-18 19:30+05:30,Match Completed,15,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2917,League,Match 26,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Bengal Warriors,24,false,Jaipur Pink Panthers,39,true,Jaipur Pink Panthers,Maninder Singh,143,2,Raider,Girish Maruti Ernak,161,3,Defender - Left Corner,Balaji D,4978,1,All-Rounder,Vaibhav Garje,5114,2,Defender - Right Cover,,,,,Sunil Kumar,368,4,Defender,,False,False,Bhavani Rajput,660,5,Raider,Arjun Deshwal,2024,10,Raider,V Ajith Kumar,3053,5,Raider,Ankush ,3574,5,Defender - Left Corner
26,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-18 20:30+05:30,Puneri Paltan won by 1 Pts,2022-10-18 20:30+05:30,Match Completed,1,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2918,League,Match 27,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Telugu Titans,25,false,Puneri Paltan,26,true,Puneri Paltan,Surjeet Singh,322,4,Defender - Right Cover,Vishal Bhardwaj,3083,0,Defender,Parvesh Bhainswal,357,1,Defender - Left Cover,Siddharth Desai,2026,8,Raider,,,,,Fazel Atrachali,259,3,Defender,,False,False,Mohammad Nabibakhsh,3176,3,All-Rounder,Sanket Sawant,3234,0,Defender - Left Cover,Mohit Goyat,4022,10,Raider,Aslam Inamdar,4960,5,Raider
27,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-19 19:30+05:30,Gujarat Giants won by 6 Pts,2022-10-19 19:30+05:30,Match Completed,6,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2919,League,Match 28,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Gujarat Giants,51,true,U.P. Yoddhas,45,false,Gujarat Giants,Rakesh ,3966,16,Raider,,,,,,,,,,,,,,,,,Pardeep Narwal,197,17,Raider,,False,False,Nitesh Kumar,3088,0,Defender,Gurdeep ,2041,0,All-Rounder,Sumit ,3240,2,Defender - Left Corner,Ashu Singh,3239,1,Defender - Right Cover
28,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-19 20:30+05:30,Bengaluru Bulls won by 17 Pts,2022-10-19 20:30+05:30,Match Completed,17,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2920,League,Match 29,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Bengaluru Bulls,45,true,Tamil Thalaivas,28,false,Bengaluru Bulls,Vikash Khandola,366,7,Raider,Mahender Singh,769,3,Defender - Left Cover,More G B,772,0,Raider,Neeraj Narwal,3038,5,Raider,Saurabh Nandal,3228,3,Defender - Left Corner,K. Abhimanyu,4198,0,All-Rounder,,False,False,Aashish ,4962,3,Defender - Left Cover,Himanshu Singh,4963,8,Raider,Visvanath V.,5046,4,All-Rounder,,,,
29,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-21 19:30+05:30,U Mumba won by 1 Pts,2022-10-21 19:30+05:30,Match Completed,1,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2921,League,Match 30,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,U Mumba,32,true,Haryana Steelers,31,false,U Mumba,Surinder Singh,3086,6,Defender,Ashish ,3028,1,Raider,Harendra Kumar,3138,3,Defender - Left Cover,Rinku ,3964,2,Defender - Right Corner,Jai Bhagwan,5002,3,Raider,Manjeet ,763,4,Raider,,False,False,Nitin Rawal,3065,3,All-Rounder,Sushil ,4179,3,Raider,Jaideep ,4184,2,Defender - Left Cover,Mohit ,4954,3,Defender - Right Cover
30,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-21 20:30+05:30,Puneri Paltan won by 2 Pts,2022-10-21 20:30+05:30,Match Completed,2,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2922,League,Match 31,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Puneri Paltan,27,true,Bengal Warriors,25,false,Puneri Paltan,Fazel Atrachali,259,6,Defender,Sombir ,3000,5,Defender,Sanket Sawant,3234,2,Defender - Left Cover,Mohit Goyat,4022,4,Raider,Rakesh Ram,5053,0,Defender - Right Cover,Maninder Singh,143,6,Raider,,False,False,Girish Maruti Ernak,161,4,Defender - Left Corner,Shubham Shinde,3103,2,Defender - Right Corner,Rohit ,4723,5,All-Rounder,Soleiman Pahlevani,4929,0,Defender
31,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-21 21:30+05:30,Patna Pirates won by 4 Pts,2022-10-21 21:30+05:30,Match Completed,4,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2923,League,Match 32,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Patna Pirates,37,true,Dabang Delhi K.C.,33,false,Patna Pirates,Sachin ,757,9,Raider,Rohit Gulia,3023,13,All-Rounder,Neeraj Kumar,3107,4,Defender - Right Cover,Monu ,3082,1,Raider,Sunil ,3106,1,Defender - Right Corner,Ravi Kumar,240,3,Defender - Right Cover,,False,False,Sandeep Dhull,290,0,Defender - Left Corner,Vishal ,3159,0,Defender - Left Cover,Naveen Kumar,2296,13,Raider,Manjeet ,3965,4,Raider
32,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-22 19:30+05:30,Bengaluru Bulls won by 10 Pts,2022-10-22 19:30+05:30,Match Completed,10,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2924,League,Match 33,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,U Mumba,32,false,Bengaluru Bulls,42,true,Bengaluru Bulls,Surinder Singh,3086,4,Defender,Harendra Kumar,3138,1,Defender - Left Cover,Pranay Rane,5117,1,Raider,Mohit ,5032,2,Defender - Left Corner,,,,,Vikash Khandola,366,8,Raider,,False,False,Mahender Singh,769,1,Defender - Left Cover,More G B,772,1,Raider,Saurabh Nandal,3228,4,Defender - Left Corner,Bharat ,4944,16,Raider
33,"Pro Kabaddi League Season 9, 2022",W,25,2022-10-22 20:30+05:30,Jaipur Pink Panthers won by 24 Pts,2022-10-22 20:30+05:30,Match Completed,24,10,kabaddi,"Shree Kanteerava Indoor Stadium, Bengaluru",2925,League,Match 34,pkl,"Pro Kabaddi League Season 9, 2022",25,+05:30,Jaipur Pink Panthers,51,true,Telugu Titans,27,false,Jaipur Pink Panthers,Sunil Kumar,368,4,Defender,Rahul Chaudhari,81,8,Raider,Arjun Deshwal,2024,12,Raider,Ankush ,3574,5,Defender - Left Corner,Sahul Kumar,4769,7,Defender - Right Corner,Vishal Bhardwaj,3083,3,Defender,,False,False,Mohsen Maghsoudlou,567,0,All-Rounder,Vijay Kumar,768,1,Defender - Right Corner,Siddharth Desai,2026,3,Raider,Adarsh T,3095,9,Defender - Left Corner
